t_p_1_mth_n,t_p_1_qtr_n,date_d,val_n,t_m_1_val_n,t_m_2_val_n,t_m_3_val_n,t_m_4_val_n,t_m_5_val_n,t_m_6_val_n,t_m_7_val_n,t_m_8_val_n,t_m_9_val_n,t_m_10_val_n,t_m_11_val_n,t_m_12_val_n,t_p_1_val_n,t_p_2_val_n,t_p_3_val_n,t_p_4_val_n
2,0.0,2002-01-01,53569.052,61761.267,59350.408,75445.413,83676.968,100006.244,92713.317,84253.446,83703.337,80723.902,82935.579,78687.679,90069.515,46029.894,62952.67,44073.768,44767.966
3,1.0,2002-02-01,46029.894,53569.052,61761.267,59350.408,75445.413,83676.968,100006.244,92713.317,84253.446,83703.337,80723.902,82935.579,78687.679,62952.67,44073.768,44767.966,64112.377
4,1.0,2002-03-01,62952.67,46029.894,53569.052,61761.267,59350.408,75445.413,83676.968,100006.244,92713.317,84253.446,83703.337,80723.902,82935.579,44073.768,44767.966,64112.377,88478.11
5,1.0,2002-04-01,44073.768,62952.67,46029.894,53569.052,61761.267,59350.408,75445.413,83676.968,100006.244,92713.317,84253.446,83703.337,80723.902,44767.966,64112.377,88478.11,80440.587
6,2.0,2002-05-01,44767.966,44073.768,62952.67,46029.894,53569.052,61761.267,59350.408,75445.413,83676.968,100006.244,92713.317,84253.446,83703.337,64112.377,88478.11,80440.587,75297.618
7,2.0,2002-06-01,64112.377,44767.966,44073.768,62952.67,46029.894,53569.052,61761.267,59350.408,75445.413,83676.968,100006.244,92713.317,84253.446,88478.11,80440.587,75297.618,57203.896
8,2.0,2002-07-01,88478.11,64112.377,44767.966,44073.768,62952.67,46029.894,53569.052,61761.267,59350.408,75445.413,83676.968,100006.244,92713.317,80440.587,75297.618,57203.896,52005.891
9,3.0,2002-08-01,80440.587,88478.11,64112.377,44767.966,44073.768,62952.67,46029.894,53569.052,61761.267,59350.408,75445.413,83676.968,100006.244,75297.618,57203.896,52005.891,57695.276
10,3.0,2002-09-01,75297.618,80440.587,88478.11,64112.377,44767.966,44073.768,62952.67,46029.894,53569.052,61761.267,59350.408,75445.413,83676.968,57203.896,52005.891,57695.276,52962.69
11,3.0,2002-10-01,57203.896,75297.618,80440.587,88478.11,64112.377,44767.966,44073.768,62952.67,46029.894,53569.052,61761.267,59350.408,75445.413,52005.891,57695.276,52962.69,51480.011
12,4.0,2002-11-01,52005.891,57203.896,75297.618,80440.587,88478.11,64112.377,44767.966,44073.768,62952.67,46029.894,53569.052,61761.267,59350.408,57695.276,52962.69,51480.011,52363.935
1,0.0,2002-12-01,57695.276,52005.891,57203.896,75297.618,80440.587,88478.11,64112.377,44767.966,44073.768,62952.67,46029.894,53569.052,61761.267,52962.69,51480.011,52363.935,43189.544
2,0.0,2003-01-01,52962.69,57695.276,52005.891,57203.896,75297.618,80440.587,88478.11,64112.377,44767.966,44073.768,62952.67,46029.894,53569.052,51480.011,52363.935,43189.544,40836.79
3,1.0,2003-02-01,51480.011,52962.69,57695.276,52005.891,57203.896,75297.618,80440.587,88478.11,64112.377,44767.966,44073.768,62952.67,46029.894,52363.935,43189.544,40836.79,48698.108
4,1.0,2003-03-01,52363.935,51480.011,52962.69,57695.276,52005.891,57203.896,75297.618,80440.587,88478.11,64112.377,44767.966,44073.768,62952.67,43189.544,40836.79,48698.108,87492.169
5,1.0,2003-04-01,43189.544,52363.935,51480.011,52962.69,57695.276,52005.891,57203.896,75297.618,80440.587,88478.11,64112.377,44767.966,44073.768,40836.79,48698.108,87492.169,81851.383
6,2.0,2003-05-01,40836.79,43189.544,52363.935,51480.011,52962.69,57695.276,52005.891,57203.896,75297.618,80440.587,88478.11,64112.377,44767.966,48698.108,87492.169,81851.383,74231.752
7,2.0,2003-06-01,48698.108,40836.79,43189.544,52363.935,51480.011,52962.69,57695.276,52005.891,57203.896,75297.618,80440.587,88478.11,64112.377,87492.169,81851.383,74231.752,68665.841
8,2.0,2003-07-01,87492.169,48698.108,40836.79,43189.544,52363.935,51480.011,52962.69,57695.276,52005.891,57203.896,75297.618,80440.587,88478.11,81851.383,74231.752,68665.841,51326.54
9,3.0,2003-08-01,81851.383,87492.169,48698.108,40836.79,43189.544,52363.935,51480.011,52962.69,57695.276,52005.891,57203.896,75297.618,80440.587,74231.752,68665.841,51326.54,52244.471
10,3.0,2003-09-01,74231.752,81851.383,87492.169,48698.108,40836.79,43189.544,52363.935,51480.011,52962.69,57695.276,52005.891,57203.896,75297.618,68665.841,51326.54,52244.471,52770.41814
11,3.0,2003-10-01,68665.841,74231.752,81851.383,87492.169,48698.108,40836.79,43189.544,52363.935,51480.011,52962.69,57695.276,52005.891,57203.896,51326.54,52244.471,52770.41814,53788.79565
12,4.0,2003-11-01,51326.54,68665.841,74231.752,81851.383,87492.169,48698.108,40836.79,43189.544,52363.935,51480.011,52962.69,57695.276,52005.891,52244.471,52770.41814,53788.79565,60294.52118
1,0.0,2003-12-01,52244.471,51326.54,68665.841,74231.752,81851.383,87492.169,48698.108,40836.79,43189.544,52363.935,51480.011,52962.69,57695.276,52770.41814,53788.79565,60294.52118,56992.28362
2,0.0,2004-01-01,52770.41814,52244.471,51326.54,68665.841,74231.752,81851.383,87492.169,48698.108,40836.79,43189.544,52363.935,51480.011,52962.69,53788.79565,60294.52118,56992.28362,56397.63791
3,1.0,2004-02-01,53788.79565,52770.41814,52244.471,51326.54,68665.841,74231.752,81851.383,87492.169,48698.108,40836.79,43189.544,52363.935,51480.011,60294.52118,56992.28362,56397.63791,56402.3506
4,1.0,2004-03-01,60294.52118,53788.79565,52770.41814,52244.471,51326.54,68665.841,74231.752,81851.383,87492.169,48698.108,40836.79,43189.544,52363.935,56992.28362,56397.63791,56402.3506,84330.17657
