Revenue from retail sales of electricity California all sectors monthly
https://www.eia.gov/opendata/qb.php?category=39&sdid=ELEC.REV.CA-ALL.M
08:12:57 GMT+0800 (HKT)
Source: U.S. Energy Information Administration
Month,Series ID: ELEC.REV.CA-ALL.M million dollars
Jan 2018,3130.4529
Dec 2017,3012.87789
Nov 2017,3091.51045
Oct 2017,3465.2078
Sep 2017,4390.65306
Aug 2017,4718.18267
Jul 2017,4266.04865
Jun 2017,3902.37864
May 2017,3068.67076
Apr 2017,2345.22294
Mar 2017,3069.72321
Feb 2017,2791.79369
Jan 2017,3089.37209
Dec 2016,3071.98463
Nov 2016,2943.80848
Oct 2016,3021.70535
Sep 2016,4015.09703
Aug 2016,4610.80129
Jul 2016,4026.24368
Jun 2016,3609.50806
May 2016,2880.94498
Apr 2016,2412.85558
Mar 2016,2883.96006
Feb 2016,2687.60563
Jan 2016,2951.81174
Dec 2015,3106.1897
Nov 2015,2988.49407
Oct 2015,3801.05487
Sep 2015,4434.88566
Aug 2015,4221.30593
Jul 2015,4361.73164
Jun 2015,3560.8788
May 2015,2869.76596
Apr 2015,2529.7913
Mar 2015,2829.90701
Feb 2015,2606.69734
Jan 2015,2973.87824
Dec 2014,3082.06046
Nov 2014,2830.78988
Oct 2014,3716.84153
Sep 2014,4416.99289
Aug 2014,4361.00137
Jul 2014,4371.19903
Jun 2014,3619.11604
May 2014,2997.29378
Apr 2014,2330.59982
Mar 2014,2582.01246
Feb 2014,2556.79408
Jan 2014,2915.6244
Dec 2013,2824.72507
Nov 2013,2663.64797
Oct 2013,3242.42617
Sep 2013,3804.84679
Aug 2013,3938.13415
Jul 2013,4046.38418
Jun 2013,3481.99756
May 2013,2942.25319
Apr 2013,2516.33371
Mar 2013,2546.49306
Feb 2013,2494.71179
Jan 2013,2870.35427
Dec 2012,2577.17282
Nov 2012,2579.5018
Oct 2012,3164.1427
Sep 2012,3741.10571
Aug 2012,3987.48538
Jul 2012,3327.47889
Jun 2012,3230.37075
May 2012,2651.59039
Apr 2012,2344.55653
Mar 2012,2484.47265
Feb 2012,2374.49412
Jan 2012,2660.93402
Dec 2011,2622.78542
Nov 2011,2559.16313
Oct 2011,2923.41786
Sep 2011,3511.99256
Aug 2011,3710.93327
Jul 2011,3419.29162
Jun 2011,3041.62042
May 2011,2551.68711
Apr 2011,2345.80431
Mar 2011,2562.85463
Feb 2011,2337.49106
Jan 2011,2605.67347
Dec 2010,2714.2528
Nov 2010,2491.68942
Oct 2010,2946.65116
Sep 2010,3436.50011
Aug 2010,3504.60269
Jul 2010,3398.51989
Jun 2010,3066.29562
May 2010,2407.42901
Apr 2010,2389.04434
Mar 2010,2539.87788
Feb 2010,2252.72244
Jan 2010,2489.0439
Dec 2009,2679.31721
Nov 2009,2176.60451
Oct 2009,3006.72108
Sep 2009,3659.83024
Aug 2009,3680.68851
Jul 2009,3661.22842
Jun 2009,3112.776
May 2009,2614.15428
Apr 2009,2432.72661
Mar 2009,2422.36048
Feb 2009,2340.03441
Jan 2009,2582.66444
Dec 2008,2613.09912
Nov 2008,2418.08701
Oct 2008,2932.54453
Sep 2008,3407.73842
Aug 2008,3490.92892
Jul 2008,3580.37981
Jun 2008,3050.03396
May 2008,2514.71127
Apr 2008,2287.05689
Mar 2008,2283.10986
Feb 2008,2306.71231
Jan 2008,2612.35
Dec 2007,2517.17985
Nov 2007,2485.1449
Oct 2007,2859.15719
Sep 2007,3458.06646
Aug 2007,3627.23079
Jul 2007,3520.76559
Jun 2007,3010.51618
May 2007,2592.049
Apr 2007,2299.81247
Mar 2007,2415.58907
Feb 2007,2296.74013
Jan 2007,2748.93736
Dec 2006,2587.23101
Nov 2006,2483.8087
Oct 2006,2659.13087
Sep 2006,3278.95999
Aug 2006,3840.98746
Jul 2006,3825.05494
Jun 2006,3230.51097
May 2006,2534.13849
Apr 2006,2192.42866
Mar 2006,2497.12385
Feb 2006,2227.63111
Jan 2006,2354.82896
Dec 2005,2384.38034
Nov 2005,2216.86281
Oct 2005,2358.63092
Sep 2005,2885.69647
Aug 2005,3352.55459
Jul 2005,2992.29739
Jun 2005,2734.02534
May 2005,2171.76425
Apr 2005,2035.83309
Mar 2005,2162.47691
Feb 2005,2051.32879
Jan 2005,2221.25012
Dec 2004,2311.76652
Nov 2004,2170.845
Oct 2004,2401.73248
Sep 2004,2802.47331
Aug 2004,2980.73482
Jul 2004,2792.3879
Jun 2004,2624.1992
May 2004,2055.29895
Apr 2004,2010.15166
Mar 2004,2171.62985
Feb 2004,2039.65859
Jan 2004,2237.38373
Dec 2003,2349.20629
Nov 2003,2117.43097
Oct 2003,2356.61162
Sep 2003,2389.95385
Aug 2003,2987.51657
Jul 2003,3228.5731
Jun 2003,2616.01006
May 2003,2218.85904
Apr 2003,2110.35462
Mar 2003,1954.8946
Feb 2003,2016.56982
Jan 2003,2301.66145
Dec 2002,2270.58793
Nov 2002,2050.95951
Oct 2002,2656.4801
Sep 2002,2581.62523
Aug 2002,2949.21135
Jul 2002,3075.21646
Jun 2002,2490.30552
May 2002,2254.43229
Apr 2002,2046.59426
Mar 2002,2069.15611
Feb 2002,1986.05551
Jan 2002,2249.41873
Dec 2001,2209.70314
Nov 2001,2116.90572
Oct 2001,2752.25922
Sep 2001,2704.73577
Aug 2001,3120.03468
Jul 2001,2900.29901
Jun 2001,2404.00318
May 2001,1949.72255
Apr 2001,1862.13954
Mar 2001,2111.17634
Feb 2001,1762.30306
Jan 2001,1893.25678 
