Revenue from retail sales of electricity California transportation monthly
https://www.eia.gov/opendata/qb.php?category=1010&sdid=ELEC.REV.CA-TRA.M
08:15:18 GMT+0800 (HKT)
Source: U.S. Energy Information Administration
Month,Series ID: ELEC.REV.CA-TRA.M million dollars
Jan 2018,5.41609
Dec 2017,6.20582
Nov 2017,6.12173
Oct 2017,6.79727
Sep 2017,6.27804
Aug 2017,7.11111
Jul 2017,6.71183
Jun 2017,6.43621
May 2017,4.96401
Apr 2017,5.54604
Mar 2017,5.66738
Feb 2017,5.02805
Jan 2017,5.59402
Dec 2016,7.67475
Nov 2016,4.97542
Oct 2016,7.66103
Sep 2016,6.76151
Aug 2016,6.81704
Jul 2016,6.22247
Jun 2016,6.99557
May 2016,5.34885
Apr 2016,6.33592
Mar 2016,6.29116
Feb 2016,5.91333
Jan 2016,5.63798
Dec 2015,7.04974
Nov 2015,5.41566
Oct 2015,7.36961
Sep 2015,6.70703
Aug 2015,6.35883
Jul 2015,7.11398
Jun 2015,6.00471
May 2015,5.43183
Apr 2015,6.59306
Mar 2015,5.58163
Feb 2015,6.48439
Jan 2015,5.23508
Dec 2014,6.24409
Nov 2014,5.26866
Oct 2014,6.6714
Sep 2014,6.74459
Aug 2014,6.76285
Jul 2014,7.30138
Jun 2014,6.15541
May 2014,6.10819
Apr 2014,5.94391
Mar 2014,5.30124
Feb 2014,5.42012
Jan 2014,6.10281
Dec 2013,6.53101
Nov 2013,6.22692
Oct 2013,5.68879
Sep 2013,5.05901
Aug 2013,7.06914
Jul 2013,6.84298
Jun 2013,6.21091
May 2013,6.12647
Apr 2013,5.19574
Mar 2013,5.81425
Feb 2013,5.17297
Jan 2013,5.39885
Dec 2012,3.78051
Nov 2012,3.70275
Oct 2012,4.35958
Sep 2012,4.52703
Aug 2012,4.48
Jul 2012,4.27375
Jun 2012,3.93937
May 2012,3.8169
Apr 2012,4.07486
Mar 2012,4.09313
Feb 2012,3.87419
Jan 2012,4.17245
Dec 2011,5.19322
Nov 2011,5.4668
Oct 2011,5.86417
Sep 2011,6.08726
Aug 2011,6.28594
Jul 2011,6.22928
Jun 2011,5.51838
May 2011,5.3631
Apr 2011,5.08013
Mar 2011,5.42132
Feb 2011,5.05099
Jan 2011,5.68699
Dec 2010,5.56135
Nov 2010,5.20447
Oct 2010,5.77029
Sep 2010,6.46452
Aug 2010,6.42431
Jul 2010,6.07317
Jun 2010,5.61735
May 2010,5.31423
Apr 2010,5.30584
Mar 2010,5.6391
Feb 2010,5.09519
Jan 2010,5.45602
Dec 2009,5.61432
Nov 2009,5.7967
Oct 2009,6.31201
Sep 2009,6.25764
Aug 2009,6.53663
Jul 2009,6.7449
Jun 2009,5.87512
May 2009,5.4657
Apr 2009,5.27277
Mar 2009,5.50599
Feb 2009,5.30129
Jan 2009,5.81108
Dec 2008,5.85794
Nov 2008,5.54997
Oct 2008,6.18027
Sep 2008,6.40838
Aug 2008,6.96721
Jul 2008,6.01671
Jun 2008,5.86487
May 2008,5.49863
Apr 2008,5.57032
Mar 2008,5.46455
Feb 2008,5.53348
Jan 2008,5.7828
Dec 2007,5.68454
Nov 2007,5.6658
Oct 2007,6.39425
Sep 2007,6.37403
Aug 2007,6.16202
Jul 2007,6.3784
Jun 2007,5.67332
May 2007,5.10546
Apr 2007,5.382
Mar 2007,6.07125
Feb 2007,5.84853
Jan 2007,6.2454
Dec 2006,5.11586
Nov 2006,5.0616
Oct 2006,5.3446
Sep 2006,5.51466
Aug 2006,5.74724
Jul 2006,5.79044
Jun 2006,3.96438
May 2006,3.57261
Apr 2006,3.63728
Mar 2006,3.84773
Feb 2006,3.69276
Jan 2006,3.90283
Dec 2005,4.74581
Nov 2005,4.59315
Oct 2005,4.6798
Sep 2005,5.48847
Aug 2005,5.637
Jul 2005,4.86959
Jun 2005,4.42296
May 2005,3.89072
Apr 2005,4.02172
Mar 2005,4.23007
Feb 2005,4.23998
Jan 2005,4.62274
Dec 2004,5.18433
Nov 2004,4.93234
Oct 2004,4.96462
Sep 2004,5.44806
Aug 2004,6.00937
Jul 2004,5.32604
Jun 2004,4.41773
May 2004,3.98876
Apr 2004,4.01953
Mar 2004,4.55405
Feb 2004,4.29015
Jan 2004,4.63302
Dec 2003,3.77732
Nov 2003,3.66448
Oct 2003,3.6513
Sep 2003,3.82143
Aug 2003,4.56308
Jul 2003,4.50514
Jun 2003,4.35933
May 2003,3.86276
Apr 2003,3.5711
Mar 2003,3.71712
Feb 2003,3.79355
Jan 2003,3.60939
Dec 2002,0
Nov 2002,0
Oct 2002,0
Sep 2002,0
Aug 2002,0
Jul 2002,0
Jun 2002,0
May 2002,0
Apr 2002,0
Mar 2002,0
Feb 2002,0
Jan 2002,0
Dec 2001,0
Nov 2001,0
Oct 2001,0
Sep 2001,0
Aug 2001,0
Jul 2001,0
Jun 2001,0
May 2001,0
Apr 2001,0
Mar 2001,0
Feb 2001,0
Jan 2001,0 
