filename	pd_name
Average_cost_of_fossil_fuels_for_electricity_generation_coal_California_electric_power_(total)_monthly	avg_cost_coal
Average_cost_of_fossil_fuels_for_electricity_generation_natural_gas_California_electric_power_(total)_monthly	avg_cost_ng
Average_cost_of_fossil_fuels_for_electricity_generation_petroleum_coke_California_electric_power_(total)_monthly	avg_cost_pc
Average_cost_of_fossil_fuels_for_electricity_generation_petroleum_liquids_California_electric_power_(total)_monthly	avg_cost_pl
Revenue_from_retail_sales_of_electricity_California_all_sectors_monthly	revenue_all
Revenue_from_retail_sales_of_electricity_California_commercial_monthly	revenue_commerical
Revenue_from_retail_sales_of_electricity_California_industrial_monthly	revenue_ind
Revenue_from_retail_sales_of_electricity_California_other_monthly	revenue_other
Revenue_from_retail_sales_of_electricity_California_residential_monthly	revenue_residential
Revenue_from_retail_sales_of_electricity_California_transportation_monthly	revenue_trans
Total_consumption_coal_California_electric_power_(total)_monthly	consumption_coal
Total_consumption_natural_gas_California_electric_power_(total)_monthly	consumption_ng
Total_consumption_petroleum_coke_California_electric_power_(total)_monthly	consumption_pc
Total_consumption_petroleum_liquids_California_electric_power_(total)_monthly	consumption_pl
