Average cost of fossil fuels for electricity generation petroleum coke California electric power (total) monthly
https://www.eia.gov/opendata/qb.php?category=41624&sdid=ELEC.COST.PC-CA-98.M
08:09:26 GMT+0800 (HKT)
Source: U.S. Energy Information Administration
Month,Series ID: ELEC.COST.PC-CA-98.M dollars per tons
Jan 2018,0
Dec 2017,0
Nov 2017,0
Oct 2017,0
Sep 2017,0
Aug 2017,0
Jul 2017,0
Jun 2017,0
May 2017,0
Apr 2017,0
Mar 2017,0
Feb 2017,0
Jan 2017,0
Dec 2016,0
Nov 2016,0
Oct 2016,0
Sep 2016,0
Aug 2016,0
Jul 2016,0
Jun 2016,0
May 2016,0
Apr 2016,0
Mar 2016,0
Feb 2016,0
Jan 2016,0
Dec 2015,0
Nov 2015,0
Oct 2015,0
Sep 2015,0
Aug 2015,0
Jul 2015,0
Jun 2015,0
May 2015,0
Apr 2015,0
Mar 2015,0
Feb 2015,0
Jan 2015,0
Dec 2014,0
Nov 2014,0
Oct 2014,0
Sep 2014,0
Aug 2014,0
Jul 2014,0
Jun 2014,0
May 2014,0
Apr 2014,0
Mar 2014,0
Feb 2014,0
Jan 2014,0
Dec 2013,0
Nov 2013,0
Oct 2013,0
Sep 2013,0
Aug 2013,0
Jul 2013,0
Jun 2013,0
May 2013,0
Apr 2013,0
Mar 2013,0
Feb 2013,0
Jan 2013,0
Dec 2012,0
Nov 2012,0
Oct 2012,0
Sep 2012,0
Aug 2012,0
Jul 2012,0
Jun 2012,0
May 2012,0
Apr 2012,0
Mar 2012,
Feb 2012,
Jan 2012,
Dec 2011,77.06
Nov 2011,
Oct 2011,87.32
Sep 2011,79.34
Aug 2011,84.71
Jul 2011,88.94
Jun 2011,
May 2011,89.62
Apr 2011,83.57
Mar 2011,85.81
Feb 2011,
Jan 2011,
Dec 2010,69.17
Nov 2010,58.48
Oct 2010,
Sep 2010,73.15
Aug 2010,
Jul 2010,
Jun 2010,58.17
May 2010,61.57
Apr 2010,61.32
Mar 2010,59.78
Feb 2010,52.59
Jan 2010,48.94
Dec 2009,48.07
Nov 2009,39.1
Oct 2009,45.78
Sep 2009,41.06
Aug 2009,53.6
Jul 2009,47.53
Jun 2009,47.1
May 2009,
Apr 2009,37.66
Mar 2009,
Feb 2009,54.25
Jan 2009,60.02
Dec 2008,55.88
Nov 2008,60.97
Oct 2008,63.86
Sep 2008,67.97
Aug 2008,75.31
Jul 2008,57.64
Jun 2008,56.31
May 2008,54.25
Apr 2008,51.9
Mar 2008,54.27
Feb 2008,53.45
Jan 2008,46.48 
