Revenue from retail sales of electricity California residential monthly
https://www.eia.gov/opendata/qb.php?category=1007&sdid=ELEC.REV.CA-RES.M
08:16:22 GMT+0800 (HKT)
Source: U.S. Energy Information Administration
Month,Series ID: ELEC.REV.CA-RES.M million dollars
Jan 2018,1382.36783
Dec 2017,1278.82228
Nov 2017,1181.70953
Oct 2017,1097.66504
Sep 2017,1800.74103
Aug 2017,1995.69296
Jul 2017,1791.92813
Jun 2017,1470.26319
May 2017,1165.10186
Apr 2017,796.55983
Mar 2017,1296.67608
Feb 2017,1229.08538
Jan 2017,1450.92347
Dec 2016,1327.06052
Nov 2016,1109.62211
Oct 2016,989.4257
Sep 2016,1541.95695
Aug 2016,1920.71681
Jul 2016,1641.7302
Jun 2016,1368.91133
May 2016,1059.25656
Apr 2016,733.29265
Mar 2016,1137.99662
Feb 2016,1146.00683
Jan 2016,1383.8192
Dec 2015,1348.57449
Nov 2015,1115.0239
Oct 2015,1259.08177
Sep 2015,1738.02832
Aug 2015,1616.26911
Jul 2015,1645.05257
Jun 2015,1234.37758
May 2015,1025.06755
Apr 2015,749.21423
Mar 2015,1090.39492
Feb 2015,1045.13219
Jan 2015,1321.60987
Dec 2014,1238.77128
Nov 2014,998.45364
Oct 2014,1093.07116
Sep 2014,1653.28892
Aug 2014,1684.25978
Jul 2014,1619.1883
Jun 2014,1283.41045
May 2014,1052.90413
Apr 2014,622.0522
Mar 2014,975.82389
Feb 2014,1008.28825
Jan 2014,1287.8808
Dec 2013,1242.53446
Nov 2013,971.01754
Oct 2013,1136.97608
Sep 2013,1520.60881
Aug 2013,1420.6052
Jul 2013,1557.3347
Jun 2013,1220.87802
May 2013,1051.51906
Apr 2013,921.08501
Mar 2013,1016.93314
Feb 2013,1038.74892
Jan 2013,1382.81331
Dec 2012,1106.01772
Nov 2012,952.84843
Oct 2012,1164.65655
Sep 2012,1495.09052
Aug 2012,1610.00878
Jul 2012,1238.23721
Jun 2012,1138.28436
May 2012,988.25545
Apr 2012,914.0207
Mar 2012,1007.78534
Feb 2012,979.31156
Jan 2012,1227.04875
Dec 2011,1144.98761
Nov 2011,959.86507
Oct 2011,1004.02772
Sep 2011,1306.01465
Aug 2011,1376.24764
Jul 2011,1285.73324
Jun 2011,1007.38125
May 2011,900.66696
Apr 2011,883.80791
Mar 2011,1056.00131
Feb 2011,947.07433
Jan 2011,1189.13781
Dec 2010,1192.00709
Nov 2010,936.87469
Oct 2010,1042.55538
Sep 2010,1225.28919
Aug 2010,1287.33842
Jul 2010,1217.81279
Jun 2010,1040.18961
May 2010,873.64725
Apr 2010,894.33962
Mar 2010,1048.07303
Feb 2010,957.37987
Jan 2010,1158.05811
Dec 2009,1187.50588
Nov 2009,830.21426
Oct 2009,1052.767
Sep 2009,1403.74616
Aug 2009,1424.05795
Jul 2009,1361.00358
Jun 2009,1054.88993
May 2009,947.85459
Apr 2009,890.64779
Mar 2009,972.04426
Feb 2009,939.03714
Jan 2009,1174.8326
Dec 2008,1082.48169
Nov 2008,849.13025
Oct 2008,1004.43605
Sep 2008,1262.4203
Aug 2008,1302.49838
Jul 2008,1344.05181
Jun 2008,1046.56562
May 2008,869.72269
Apr 2008,824.76071
Mar 2008,872.55783
Feb 2008,958.7624
Jan 2008,1177.33679
Dec 2007,1062.41849
Nov 2007,909.85667
Oct 2007,886.85778
Sep 2007,1350.66803
Aug 2007,1390.6624
Jul 2007,1307.65587
Jun 2007,1036.26938
May 2007,923.91344
Apr 2007,829.77492
Mar 2007,941.68581
Feb 2007,961.92076
Jan 2007,1258.14946
Dec 2006,1076.92187
Nov 2006,905.98474
Oct 2006,837.97678
Sep 2006,1192.28863
Aug 2006,1507.74414
Jul 2006,1584.9663
Jun 2006,1145.11837
May 2006,915.19013
Apr 2006,842.47755
Mar 2006,1005.23189
Feb 2006,859.7967
Jan 2006,1001.84192
Dec 2005,947.59765
Nov 2005,794.45333
Oct 2005,743.14772
Sep 2005,964.57923
Aug 2005,1319.3286
Jul 2005,1029.34695
Jun 2005,921.10617
May 2005,751.30303
Apr 2005,716.25858
Mar 2005,800.89132
Feb 2005,787.74318
Jan 2005,931.80326
Dec 2004,940.15096
Nov 2004,764.95434
Oct 2004,754.51317
Sep 2004,987.33755
Aug 2004,1058.9888
Jul 2004,913.49927
Jun 2004,848.27769
May 2004,703.4686
Apr 2004,674.82921
Mar 2004,804.91845
Feb 2004,774.65359
Jan 2004,942.87637
Dec 2003,934.93306
Nov 2003,734.10741
Oct 2003,742.69943
Sep 2003,835.64704
Aug 2003,1096.53944
Jul 2003,1103.57113
Jun 2003,857.33312
May 2003,730.93639
Apr 2003,720.40978
Mar 2003,695.77881
Feb 2003,727.97491
Jan 2003,961.62748
Dec 2002,834.23808
Nov 2002,697.68673
Oct 2002,798.83773
Sep 2002,811.30016
Aug 2002,965.91721
Jul 2002,994.44378
Jun 2002,769.92727
May 2002,722.76301
Apr 2002,709.47017
Mar 2002,727.48666
Feb 2002,773.71478
Jan 2002,952.71942
Dec 2001,831.30193
Nov 2001,699.07083
Oct 2001,818.86184
Sep 2001,822.7865
Aug 2001,934.4261
Jul 2001,881.34194
Jun 2001,808.83014
May 2001,663.12406
Apr 2001,601.33405
Mar 2001,737.20165
Feb 2001,682.68637
Jan 2001,788.0066 
