Revenue from retail sales of electricity California commercial monthly
https://www.eia.gov/opendata/qb.php?category=1008&sdid=ELEC.REV.CA-COM.M
08:14:22 GMT+0800 (HKT)
Source: U.S. Energy Information Administration
Month,Series ID: ELEC.REV.CA-COM.M million dollars
Jan 2018,1332.6859
Dec 2017,1322.99206
Nov 2017,1406.22406
Oct 2017,1740.74695
Sep 2017,1937.38249
Aug 2017,2007.90048
Jul 2017,1823.22612
Jun 2017,1765.26833
May 2017,1428.51722
Apr 2017,1175.15385
Mar 2017,1369.2356
Feb 2017,1199.03716
Jan 2017,1259.71247
Dec 2016,1324.80899
Nov 2016,1349.71763
Oct 2016,1563.4006
Sep 2016,1790.55973
Aug 2016,1967.70932
Jul 2016,1710.75243
Jun 2016,1616.08158
May 2016,1341.72578
Apr 2016,1247.45833
Mar 2016,1305.59261
Feb 2016,1181.05293
Jan 2016,1204.31705
Dec 2015,1335.8099
Nov 2015,1382.94527
Oct 2015,1885.48616
Sep 2015,2018.11822
Aug 2015,1914.47826
Jul 2015,1998.17176
Jun 2015,1693.18066
May 2015,1342.26381
Apr 2015,1312.84047
Mar 2015,1313.37225
Feb 2015,1171.17112
Jan 2015,1259.24263
Dec 2014,1396.68285
Nov 2014,1338.78772
Oct 2014,1943.57318
Sep 2014,2053.80412
Aug 2014,1959.79095
Jul 2014,1998.96873
Jun 2014,1690.65753
May 2014,1425.94889
Apr 2014,1261.76209
Mar 2014,1209.62703
Feb 2014,1151.77617
Jan 2014,1231.85136
Dec 2013,1168.54377
Nov 2013,1196.94358
Oct 2013,1498.84213
Sep 2013,1647.20948
Aug 2013,1837.4094
Jul 2013,1791.38941
Jun 2013,1630.36435
May 2013,1363.15681
Apr 2013,1170.32409
Mar 2013,1122.42113
Feb 2013,1069.65407
Jan 2013,1101.59284
Dec 2012,1111.82407
Nov 2012,1225.07953
Oct 2012,1529.34195
Sep 2012,1746.38423
Aug 2012,1848.17924
Jul 2012,1600.55391
Jun 2012,1636.34997
May 2012,1269.83108
Apr 2012,1072.56429
Mar 2012,1122.00555
Feb 2012,1060.05309
Jan 2012,1104.99702
Dec 2011,1111.40691
Nov 2011,1193.44526
Oct 2011,1437.71935
Sep 2011,1696.84412
Aug 2011,1794.14663
Jul 2011,1640.73191
Jun 2011,1558.84075
May 2011,1252.35602
Apr 2011,1084.61063
Mar 2011,1135.20357
Feb 2011,1043.31177
Jan 2011,1069.43743
Dec 2010,1159.86238
Nov 2010,1174.44493
Oct 2010,1439.8431
Sep 2010,1713.8795
Aug 2010,1719.88186
Jul 2010,1686.01813
Jun 2010,1560.68484
May 2010,1155.90855
Apr 2010,1131.78076
Mar 2010,1126.37091
Feb 2010,978.48827
Jan 2010,1016.35185
Dec 2009,1134.99496
Nov 2009,1007.39058
Oct 2009,1471.79182
Sep 2009,1738.28367
Aug 2009,1731.67529
Jul 2009,1774.69956
Jun 2009,1583.25517
May 2009,1264.79447
Apr 2009,1153.79489
Mar 2009,1101.27985
Feb 2009,1051.3356
Jan 2009,1061.36769
Dec 2008,1144.40358
Nov 2008,1152.11144
Oct 2008,1453.07317
Sep 2008,1637.2578
Aug 2008,1656.30553
Jul 2008,1701.83758
Jun 2008,1518.27174
May 2008,1219.65207
Apr 2008,1086.32274
Mar 2008,1039.51979
Feb 2008,999.97104
Jan 2008,1075.50296
Dec 2007,1083.21964
Nov 2007,1173.11191
Oct 2007,1485.63708
Sep 2007,1599.15066
Aug 2007,1718.98295
Jul 2007,1719.36136
Jun 2007,1509.11594
May 2007,1245.64571
Apr 2007,1099.65611
Mar 2007,1116.49107
Feb 2007,986.079
Jan 2007,1117.94357
Dec 2006,1172.47719
Nov 2006,1173.34967
Oct 2006,1369.37124
Sep 2006,1587.68861
Aug 2006,1780.56763
Jul 2006,1714.5007
Jun 2006,1579.46755
May 2006,1200.68555
Apr 2006,989.35948
Mar 2006,1101.99226
Feb 2006,984.74646
Jan 2006,981.88164
Dec 2005,1062.24243
Nov 2005,1042.46111
Oct 2005,1179.32682
Sep 2005,1454.11152
Aug 2005,1534.93029
Jul 2005,1461.99288
Jun 2005,1369.71605
May 2005,1041.24675
Apr 2005,962.92439
Mar 2005,997.1951
Feb 2005,946.69369
Jan 2005,954.21398
Dec 2004,1030.26233
Nov 2004,1048.92283
Oct 2004,1236.04234
Sep 2004,1388.52827
Aug 2004,1452.37899
Jul 2004,1420.29104
Jun 2004,1345.07373
May 2004,1002.48064
Apr 2004,979.47211
Mar 2004,1028.78458
Feb 2004,931.80008
Jan 2004,981.94206
Dec 2003,1043.26154
Nov 2003,1013.46297
Oct 2003,1189.21885
Sep 2003,1156.86535
Aug 2003,1411.30458
Jul 2003,1585.01488
Jun 2003,1326.10057
May 2003,1089.98885
Apr 2003,1016.33162
Mar 2003,905.3753
Feb 2003,933.31369
Jan 2003,1001.8098
Dec 2002,1013.48904
Nov 2002,982.53751
Oct 2002,1369.10489
Sep 2002,1286.67607
Aug 2002,1455.90898
Jul 2002,1530.65789
Jun 2002,1257.08345
May 2002,1100.53905
Apr 2002,957.57868
Mar 2002,951.9236
Feb 2002,866.87756
Jan 2002,937.18329
Dec 2001,887.84103
Nov 2001,929.25682
Oct 2001,1241.67465
Sep 2001,1184.80963
Aug 2001,1377.22935
Jul 2001,1239.61403
Jun 2001,1035.30103
May 2001,775.68417
Apr 2001,801.77147
Mar 2001,857.33056
Feb 2001,664.51874
Jan 2001,720.72952 
