Average cost of fossil fuels for electricity generation natural gas California electric power (total) monthly
https://www.eia.gov/opendata/qb.php?category=41625&sdid=ELEC.COST.NG-CA-98.M
08:10:05 GMT+0800 (HKT)
Source: U.S. Energy Information Administration
Month,Series ID: ELEC.COST.NG-CA-98.M dollars per mcf
Jan 2018,3.79
Dec 2017,
Nov 2017,
Oct 2017,
Sep 2017,
Aug 2017,
Jul 2017,
Jun 2017,
May 2017,
Apr 2017,
Mar 2017,
Feb 2017,
Jan 2017,
Dec 2016,4.05
Nov 2016,3.22
Oct 2016,3.33
Sep 2016,3.51
Aug 2016,3.39
Jul 2016,3.42
Jun 2016,2.95
May 2016,
Apr 2016,2.43
Mar 2016,2.52
Feb 2016,2.8
Jan 2016,3.02
Dec 2015,2.96
Nov 2015,2.95
Oct 2015,3.19
Sep 2015,3.29
Aug 2015,3.53
Jul 2015,3.54
Jun 2015,3.52
May 2015,3.45
Apr 2015,
Mar 2015,3.5
Feb 2015,3.73
Jan 2015,
Dec 2014,4.7
Nov 2014,4.86
Oct 2014,4.62
Sep 2014,4.81
Aug 2014,4.81
Jul 2014,5.07
Jun 2014,5.44
May 2014,5.47
Apr 2014,5.4
Mar 2014,5.81
Feb 2014,6.86
Jan 2014,5.24
Dec 2013,5.16
Nov 2013,4.47
Oct 2013,4.45
Sep 2013,4.44
Aug 2013,4.29
Jul 2013,4.45
Jun 2013,4.55
May 2013,
Apr 2013,4.82
Mar 2013,4.47
Feb 2013,4.23
Jan 2013,4.23
Dec 2012,4.35
Nov 2012,4.41
Oct 2012,4.16
Sep 2012,3.7
Aug 2012,3.63
Jul 2012,3.63
Jun 2012,3.4
May 2012,3.17
Apr 2012,3.05
Mar 2012,3.19
Feb 2012,3.58
Jan 2012,3.81
Dec 2011,4.21
Nov 2011,4.34
Oct 2011,4.46
Sep 2011,4.75
Aug 2011,4.9
Jul 2011,5.06
Jun 2011,5.07
May 2011,4.96
Apr 2011,4.88
Mar 2011,4.54
Feb 2011,4.77
Jan 2011,4.87
Dec 2010,4.92
Nov 2010,4.36
Oct 2010,4.32
Sep 2010,4.33
Aug 2010,4.66
Jul 2010,5
Jun 2010,4.9
May 2010,
Apr 2010,4.77
Mar 2010,5.37
Feb 2010,6.08
Jan 2010,6.49
Dec 2009,5.88
Nov 2009,5.01
Oct 2009,4.78
Sep 2009,3.77
Aug 2009,3.93
Jul 2009,3.98
Jun 2009,3.76
May 2009,3.99
Apr 2009,3.91
Mar 2009,
Feb 2009,4.67
Jan 2009,5.47
Dec 2008,6.06
Nov 2008,5.41
Oct 2008,5.73
Sep 2008,6.55
Aug 2008,8.25
Jul 2008,10.92
Jun 2008,11.5
May 2008,10.47
Apr 2008,9.91
Mar 2008,9.23
Feb 2008,8.4
Jan 2008,7.66 
