Revenue from retail sales of electricity California industrial monthly
https://www.eia.gov/opendata/qb.php?category=1009&sdid=ELEC.REV.CA-IND.M
08:14:41 GMT+0800 (HKT)
Source: U.S. Energy Information Administration
Month,Series ID: ELEC.REV.CA-IND.M million dollars
Jan 2018,409.98309
Dec 2017,404.85773
Nov 2017,497.45513
Oct 2017,619.99854
Sep 2017,646.25151
Aug 2017,707.47812
Jul 2017,644.18256
Jun 2017,660.41091
May 2017,470.08767
Apr 2017,367.96322
Mar 2017,398.14416
Feb 2017,358.64312
Jan 2017,373.14213
Dec 2016,412.44037
Nov 2016,479.49332
Oct 2016,461.21803
Sep 2016,675.81883
Aug 2016,715.55812
Jul 2016,667.53857
Jun 2016,617.51958
May 2016,474.6138
Apr 2016,425.76868
Mar 2016,434.07966
Feb 2016,354.63254
Jan 2016,358.0375
Dec 2015,414.75557
Nov 2015,485.10925
Oct 2015,649.11733
Sep 2015,672.03209
Aug 2015,684.19973
Jul 2015,711.39333
Jun 2015,627.31584
May 2015,497.00277
Apr 2015,461.14355
Mar 2015,420.55821
Feb 2015,383.90964
Jan 2015,387.79065
Dec 2014,440.36225
Nov 2014,488.27985
Oct 2014,673.52579
Sep 2014,703.15527
Aug 2014,710.18779
Jul 2014,745.74063
Jun 2014,638.89265
May 2014,512.33256
Apr 2014,440.84163
Mar 2014,391.26029
Feb 2014,391.30954
Jan 2014,389.78942
Dec 2013,407.11583
Nov 2013,489.45994
Oct 2013,600.91917
Sep 2013,631.9695
Aug 2013,673.05042
Jul 2013,690.81709
Jun 2013,624.54428
May 2013,521.45086
Apr 2013,419.72887
Mar 2013,401.32454
Feb 2013,381.13583
Jan 2013,380.54928
Dec 2012,355.55052
Nov 2012,397.8711
Oct 2012,465.78462
Sep 2012,495.10394
Aug 2012,524.81737
Jul 2012,484.41401
Jun 2012,451.79705
May 2012,389.68697
Apr 2012,353.89669
Mar 2012,350.58864
Feb 2012,331.25529
Jan 2012,324.7158
Dec 2011,361.19768
Nov 2011,400.38599
Oct 2011,475.80661
Sep 2011,503.04653
Aug 2011,534.25307
Jul 2011,486.5972
Jun 2011,469.88004
May 2011,393.30103
Apr 2011,372.30563
Mar 2011,366.22843
Feb 2011,342.05397
Jan 2011,341.41125
Dec 2010,356.82199
Nov 2010,375.16534
Oct 2010,458.48239
Sep 2010,490.86689
Aug 2010,490.9581
Jul 2010,488.61581
Jun 2010,459.80382
May 2010,372.55898
Apr 2010,357.61811
Mar 2010,359.79484
Feb 2010,311.7591
Jan 2010,309.17792
Dec 2009,351.20205
Nov 2009,333.20297
Oct 2009,475.85025
Sep 2009,511.54277
Aug 2009,518.41864
Jul 2009,518.78038
Jun 2009,468.75579
May 2009,396.03953
Apr 2009,383.01116
Mar 2009,343.53038
Feb 2009,344.36039
Jan 2009,340.65307
Dec 2008,380.35591
Nov 2008,411.29535
Oct 2008,468.85504
Sep 2008,501.65194
Aug 2008,525.1578
Jul 2008,528.4737
Jun 2008,479.33172
May 2008,419.83788
Apr 2008,370.40313
Mar 2008,365.56769
Feb 2008,342.4454
Jan 2008,353.72745
Dec 2007,365.85719
Nov 2007,396.51052
Oct 2007,480.26808
Sep 2007,501.87374
Aug 2007,511.42342
Jul 2007,487.36996
Jun 2007,459.45754
May 2007,417.38439
Apr 2007,364.99944
Mar 2007,351.34095
Feb 2007,342.89184
Jan 2007,366.59893
Dec 2006,332.71609
Nov 2006,399.41269
Oct 2006,446.43825
Sep 2006,493.46808
Aug 2006,546.92844
Jul 2006,519.7975
Jun 2006,501.96066
May 2006,414.6902
Apr 2006,356.95435
Mar 2006,386.05198
Feb 2006,379.39519
Jan 2006,367.20257
Dec 2005,369.79445
Nov 2005,375.35522
Oct 2005,431.47658
Sep 2005,461.51725
Aug 2005,492.6587
Jul 2005,496.08797
Jun 2005,438.78016
May 2005,375.32375
Apr 2005,352.62841
Mar 2005,360.16042
Feb 2005,312.65195
Jan 2005,330.61014
Dec 2004,336.1689
Nov 2004,352.03549
Oct 2004,406.21235
Sep 2004,421.15943
Aug 2004,463.35767
Jul 2004,453.27154
Jun 2004,426.43005
May 2004,345.36094
Apr 2004,351.83082
Mar 2004,333.37278
Feb 2004,328.91476
Jan 2004,307.93228
Dec 2003,367.23438
Nov 2003,366.19611
Oct 2003,421.04204
Sep 2003,393.62003
Aug 2003,475.10947
Jul 2003,535.48195
Jun 2003,428.21704
May 2003,394.07105
Apr 2003,370.04211
Mar 2003,350.02337
Feb 2003,351.48768
Jan 2003,334.61478
Dec 2002,374.29204
Nov 2002,333.10423
Oct 2002,448.2105
Sep 2002,441.74474
Aug 2002,486.26246
Jul 2002,510.47949
Jun 2002,424.54198
May 2002,395.2995
Apr 2002,345.41424
Mar 2002,356.05912
Feb 2002,311.38298
Jan 2002,324.99073
Dec 2001,418.4103
Nov 2001,409.5097
Oct 2001,583.8101
Sep 2001,592.08305
Aug 2001,688.21789
Jul 2001,662.21759
Jun 2001,469.40526
May 2001,444.93977
Apr 2001,397.79353
Mar 2001,455.241
Feb 2001,363.17658
Jan 2001,334.32024 
