table,permaticker,ticker,name,exchange,isdelisted,category,cusips,siccode,sicsector,sicindustry,famasector,famaindustry,sector,industry,scalemarketcap,scalerevenue,relatedtickers,currency,location,lastupdated,firstadded,firstpricedate,lastpricedate,firstquarter,lastquarter,secfilings,companysite
SF1,115653,MILK,BROUGHTON FOODS CO,NASDAQ,Y,Domestic,,2020,Manufacturing,DAIRY PRODUCTS,,Food Products,Consumer Defensive,Packaged Foods,2 - Micro,2 - Micro,,USD,OHIO U.S.A,2018-08-29,2018-08-29,1997-12-10,1999-06-22,1996-12-31,1999-03-31,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001046676,
SF1,115654,ASCT,ASCENT PEDIATRICS INC,NASDAQ,Y,Domestic,04362X101 04362X200,2834,Manufacturing,PHARMACEUTICAL PREPARATIONS,,Pharmaceutical Products,Healthcare,Biotechnology,1 - Nano,1 - Nano,ASCTP,USD,MASSACHUSETTS U.S.A,2018-08-29,2018-08-29,1997-06-02,1999-07-23,1996-12-31,1999-12-31,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001019731,
SF1,115655,GAC1,GULFSTREAM AEROSPACE CORP,NYSE,Y,Domestic,402734107,3721,Manufacturing,AIRCRAFT,,Aircraft,Industrials,Aerospace & Defense,4 - Mid,4 - Mid,GAC,USD,GEORGIA U.S.A,2018-08-29,2018-08-29,1996-10-11,1999-07-30,1996-12-31,1999-03-31,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000715355,
SF1,115656,RSV,RENTAL SERVICE CORP,NYSE,Y,Domestic,76009V102,7359,Services,SERVICES-EQUIPMENT RENTAL & LEASING NEC,,Business Services,Industrials,Rental & Leasing Services,3 - Small,3 - Small,,USD,ARIZONA U.S.A,2018-08-29,2018-08-29,1996-09-20,1999-07-29,1996-09-30,1999-03-31,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001016572,
SF1,115657,FCBK1,FIRST COASTAL BANKSHARES INC,NASDAQ,Y,Domestic,927731109,6035,Finance Insurance and Real Estate,SAVINGS INSTITUTION FEDERALLY CHARTERED,,Banking,Financial Services,Banks - Regional - US,2 - Micro,1 - Nano,FCBK,USD,VIRGINIA U.S.A,2018-08-29,2018-08-29,1986-01-01,1999-03-26,1996-12-31,1998-09-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000847260,
SF1,115658,GSFC,GREEN STREET FINANCIAL CORP,NASDAQ,Y,Domestic,393415104,6035,Finance Insurance and Real Estate,SAVINGS INSTITUTION FEDERALLY CHARTERED,,Banking,Financial Services,Banks - Regional - US,2 - Micro,1 - Nano,,USD,NORTH CAROLINA U.S.A,2018-08-29,2018-08-29,1996-04-08,1999-11-30,1996-12-31,1999-06-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001005017,
SF1,115659,GABS,GEORGIA BANCSHARES INC,NASDAQ,Y,Domestic,,6022,Finance Insurance and Real Estate,STATE COMMERCIAL BANKS,,Banking,Financial Services,Banks - Regional - US,1 - Nano,1 - Nano,,USD,GEORGIA U.S.A,2018-08-29,2018-08-29,1998-12-08,1999-04-21,1996-12-31,1999-03-31,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000944169,
SF1,115660,HILI,HILITE INDUSTRIES INC,NASDAQ,Y,Domestic,431353101,3714,Manufacturing,MOTOR VEHICLE PARTS & ACCESSORIES,,Automobiles and Trucks,Consumer Cyclical,Auto Parts,2 - Micro,2 - Micro,,USD,TEXAS U.S.A,2018-08-29,2018-08-29,1994-01-26,1999-05-25,1996-12-31,1999-03-31,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000915197,
SF1,115661,FIBC,FINANCIAL BANCORP INC,NASDAQ,Y,Domestic,31738T100 129904108,6035,Finance Insurance and Real Estate,SAVINGS INSTITUTION FEDERALLY CHARTERED,,Banking,Financial Services,Banks - Regional - US,2 - Micro,1 - Nano,,USD,NEW YORK U.S.A,2018-08-29,2018-08-29,1994-08-18,1999-01-20,1996-12-31,1998-09-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000855932,
SF1,115662,DPRC,DATA PROCESSING RESOURCES CORP,NASDAQ,Y,Domestic,237823109,7373,Services,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN,,Computers,Technology,Software - Application,3 - Small,3 - Small,,USD,CALIFORNIA U.S.A,2018-08-29,2018-08-29,1996-03-07,1999-08-26,1996-12-31,1999-03-31,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001005700,
SF1,115663,NSIX,NEUROMEDICAL SYSTEMS INC,NASDAQ,Y,Domestic,64124H109,8734,Services,SERVICES-TESTING LABORATORIES,,Business Services,Industrials,Business Services,2 - Micro,1 - Nano,,USD,NEW JERSEY U.S.A,2018-08-29,2018-08-29,1995-12-11,1999-03-16,1996-12-31,1998-09-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000866933,
SF1,115664,CATX,C ATS SOFTWARE INC,NASDAQ,Y,Domestic,124778101,7372,Services,SERVICES-PREPACKAGED SOFTWARE,,Business Services,Technology,Software - Application,1 - Nano,1 - Nano,,USD,CALIFORNIA U.S.A,2018-08-29,2018-08-29,1995-03-22,1999-01-26,1996-12-31,1998-09-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000937266,
SF1,115665,AGAI,AG ASSOCIATES INC,NASDAQ,Y,Domestic,1073105,3559,Manufacturing,SPECIAL INDUSTRY MACHINERY NEC,,Machinery,Technology,Semiconductor Equipment & Materials,1 - Nano,2 - Micro,,USD,CALIFORNIA U.S.A,2018-08-29,2018-08-29,1995-05-17,1999-03-02,1996-12-31,1998-12-31,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000942124,
SF1,115666,CBCI,CALUMET BANCORP INC,NASDAQ,Y,Domestic,131386104,6035,Finance Insurance and Real Estate,SAVINGS INSTITUTION FEDERALLY CHARTERED,,Banking,Financial Services,Banks - Regional - US,2 - Micro,1 - Nano,,USD,ILLINOIS U.S.A,2018-08-29,2018-08-29,1992-02-21,1999-04-29,1996-12-31,1998-12-31,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000879694,
SF1,115667,EFBI1,ENTERPRISE FEDERAL BANCORP INC,NASDAQ,Y,Domestic,293711107,6035,Finance Insurance and Real Estate,SAVINGS INSTITUTION FEDERALLY CHARTERED,,Banking,Financial Services,Banks - Regional - US,2 - Micro,1 - Nano,EFBI,USD,OHIO U.S.A,2018-08-29,2018-08-29,1994-10-18,1999-05-14,1996-12-31,1998-12-31,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000922036,
SF1,115668,CANR,CANISCO RESOURCES INC,NASDAQ,Y,Domestic,137587101 670309103,1700,Construction,CONSTRUCTION - SPECIAL TRADE CONTRACTORS,,Construction,Industrials,Engineering & Construction,1 - Nano,2 - Micro,NSSI,USD,DELAWARE U.S.A,2018-08-29,2018-08-29,1986-01-01,1999-07-14,1997-03-31,2000-03-31,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000317488,
SF1,115669,AGPH,AGOURON PHARMACEUTICALS INC,NASDAQ,Y,Domestic,8488108,2834,Manufacturing,PHARMACEUTICAL PREPARATIONS,,Pharmaceutical Products,Healthcare,Biotechnology,3 - Small,3 - Small,,USD,CALIFORNIA U.S.A,2018-08-29,2018-08-29,1987-03-23,1999-05-17,1996-12-31,1999-03-31,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000811210,
SF1,115671,CES,COMMONWEALTH ENERGY SYSTEM,NYSE,Y,Domestic,,4931,Transportation Communications Electric Gas and Sanitary Service,ELECTRIC & OTHER SERVICES COMBINED,,Utilities,Utilities,Utilities - Regulated Electric,3 - Small,3 - Small,,USD,MASSACHUSETTS U.S.A,2018-08-29,2018-08-29,1986-01-01,1999-08-24,1996-12-31,1999-06-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000071304,
SF1,115672,AGBG,AB HOLDING GROUP INC,NASDAQ,Y,Domestic,1077106,3089,Manufacturing,PLASTICS PRODUCTS NEC,,Rubber and Plastic Products,Consumer Cyclical,Packaging & Containers,1 - Nano,1 - Nano,ABHG,USD,OREGON U.S.A,2018-08-29,2018-08-29,1990-04-25,1999-01-13,1996-12-31,2004-09-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000842289,
SF1,115673,BZET,BIOFIELD CORP,NASDAQ,Y,Domestic,554516104 090591108 090591207,3845,Manufacturing,ELECTROMEDICAL & ELECTROTHERAPEUTIC APPARATUS,,Medical Equipment,Healthcare,Medical Devices,1 - Nano,,,USD,PENNSYLVANIA U.S.A,2018-08-29,2018-08-29,1996-03-20,1999-02-08,1996-12-31,1998-09-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001007018,
SF1,115674,AURA,AURA SYSTEMS INC,NASDAQ,Y,Domestic,051526200 051526101,3690,Manufacturing,MISCELLANEOUS ELECTRICAL MACHINERY EQUIPMENT & SUPPLIES,,Electrical Equipment,Industrials,Diversified Industrials,2 - Micro,2 - Micro,AUSI,USD,CALIFORNIA U.S.A,2018-08-29,2018-08-29,1988-10-27,1999-06-17,1996-12-31,1998-12-31,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000826253,
SF1,115675,PRAN1,PIRANHA INTERACTIVE PUBLISHING INC,NASDAQ,Y,Domestic,,7011,Services,HOTELS & MOTELS,,Restaraunts Hotels Motels,Consumer Cyclical,Resorts & Casinos,1 - Nano,1 - Nano,PRAN PRANU PRANW,USD,HONG KONG,2018-08-29,2018-08-29,1997-09-19,1999-06-23,1997-03-31,1998-09-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001027235,
SF1,115676,MFAC,MEGALITH FINANCIAL ACQUISITION CORP,NYSE,N,Domestic,58518F208,6770,Finance Insurance and Real Estate,BLANK CHECKS,,Trading,Industrials,Conglomerates,,,MFACU MFACW,USD,NEW YORK U.S.A,2018-08-29,2018-08-29,2018-08-24,2018-08-29,2017-12-31,2018-06-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001725872,
SF1,115677,TZAC,TENZING ACQUISITION CORP,NASDAQ,N,Domestic,G8708A124,6770,Finance Insurance and Real Estate,BLANK CHECKS,,Trading,Financial Services,Asset Management,,,TZACU TZACW,USD,NEW YORK U.S.A,2018-08-29,2018-08-29,2018-08-21,2018-08-29,2018-06-30,2018-06-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001742927,
SF1,115678,FMCI,FORUM MERGER II CORP,NASDAQ,N,Domestic,34986F202 34986F103,6770,Finance Insurance and Real Estate,BLANK CHECKS,,Trading,Industrials,Conglomerates,,,FMCIU FMCIW,USD,NEW YORK U.S.A,2018-08-29,2018-08-29,2018-08-03,2018-08-29,2018-06-30,2018-06-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001741231,
SF1,115679,SFET,SAFE-T GROUP LTD,NASDAQ,N,ADR,78643B302,7372,Services,SERVICES-PREPACKAGED SOFTWARE,,Business Services,Technology,Software - Application,,1 - Nano,,USD,ISRAEL,2018-08-29,2018-08-29,2018-08-17,2018-08-29,2016-12-31,2017-12-31,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001725332,http://www.safe-t.com
SF1,115680,BNGO,BIONANO GENOMICS INC,NASDAQ,N,Domestic,,3826,Manufacturing,LABORATORY ANALYTICAL INSTRUMENTS,,Measuring and Control Equipment,Healthcare,Diagnostics & Research,,1 - Nano,BNGOU,USD,CALIFORNIA U.S.A,2018-08-29,2018-08-29,2018-08-21,2018-08-29,2016-12-31,2018-06-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001411690,
