,realized_return,realized_return,realized_return,realized_return,realized_return,realized_return,realized_return,realized_return,realized_return,realized_return,realized_return,realized_return,realized_return,realized_return,realized_return,realized_return,realized_return,realized_return,realized_return,realized_return,realized_return,realized_return,realized_return,realized_return,realized_return,realized_return,realized_return,realized_return,return,return,return,return,return,return,return,return,return,return,return,return,return,return,return,return,return,return,return,return,return,return,return,return,return,return,return,return,unrealized_return,unrealized_return,unrealized_return,unrealized_return,unrealized_return,unrealized_return,unrealized_return,unrealized_return,unrealized_return,unrealized_return,unrealized_return,unrealized_return,unrealized_return,unrealized_return,unrealized_return,unrealized_return,unrealized_return,unrealized_return,unrealized_return,unrealized_return,unrealized_return,unrealized_return,unrealized_return,unrealized_return,unrealized_return,unrealized_return,unrealized_return,unrealized_return,value_x,value_x,value_x,value_x,value_x,value_x,value_x,value_x,value_x,value_x,value_x,value_x,value_x,value_x,value_x,value_x,value_x,value_x,value_x,value_x,value_x,value_x,value_x,value_x,value_x,value_x,value_x,value_x,value_x
ADVENT CAPITAL MANAGEMENT,,,,,,,,,17.785116511351976,,18.731783212868418,,22.119430800539636,23.37500857880299,,8.78075807228026,,27.157936059756835,47.24856047763149,,8.40535267749893,,38.43292815388708,136.17461162620282,,,,787.8828488651583,,,,,,,,,35.60126084759174,,37.487100431682684,,44.29803574146782,46.804548995552075,,17.605414743618816,,54.35752159920133,94.51243414054,,16.77261370281254,,76.8900447259113,272.32718837319504,,,,1575.7710222792814,,,,,,,,,17.81667227815577,,18.755547361686645,,22.178761406123275,23.429642283283943,,8.82496378590461,,27.199647820048366,47.263901550248164,,8.369335479308978,,38.45715404167177,136.15259177926538,,,,787.8881890842794,,,,,,,,,,3775982000.0,,1442123000.0,,8572740000.0,28812256000.0,,2625335000.0,,33634707000.0,40317787000.0,,1588288000.0,,35493720000.0,10722119000.0,,,,4628312000.0
ADVENT INTERNATIONAL CORP,,,,,,,,,,,0.0258925458552397,,0.042276549649913786,0.02856497272683092,,0.028974388998549854,,,0.017135383549604564,,0.014128032881076264,,,,,,,,,,,,,,,,,,0.2246118784687165,,0.01018151114023953,0.11045669427652621,,2.036816450154502,,,0.11687344608239905,,0.11768515099548442,,,,,,,,,,,,,,,,,,0.20694159670568923,,0.05245806079015329,0.08812680584480426,,2.037121215440304,,,0.1184669928170459,,0.11109985912897025,,,,,,,,,,,,,,,,,,,15063933000.0,,13167000.0,30889000.0,,47151192000.0,,,3769962000.0,,628451000.0,,,,,,,
ADVISOR GROUP INC,,1.7208577558136369,,0.2538329355956376,,44.64815879120035,,0.01082603081717524,0.5418809312242278,,5.083069428203137,,7.7625723672195,0.3273665729932518,,2.009539412260502,,1.3411251574202827,0.6843859065292918,,2.7874767597268844,,1.1223264630979362,0.767387084920434,,4.166080935481201,,1.8337841547624636,,3.4776316806080803,,0.5259184298696086,,89.32487897126177,,0.07029281030846207,1.088985901650509,,10.176048661418871,,15.503519562398472,0.6946962691981128,,3.984829475327598,,2.6438851446658407,1.3933323137103264,,5.579743972876828,,2.258654928817183,1.548465133863896,,8.326977766641367,,3.666238421209381,,1.7626530917517984,,0.2736301025716804,,44.67675147111736,,0.06385877375994446,0.5491046219706937,,5.093181565614357,,7.740986921407204,0.36787346180662855,,1.9754522565400887,,1.3028729304519184,0.7094809568837648,,2.792401784304108,,1.1366987409338154,0.7818621818704996,,4.161042285090973,,1.8326164619225789,,1676000.0,,0.0,66428000.0,,9026000.0,,37420000.0,711479000.0,,91085000.0,,323309000.0,2774869000.0,,160053000.0,,1526574000.0,17591707000.0,,902275000.0,,8030970000.0,23633316000.0,,1285262000.0,,15241102000.0
ADVISORS ASSET MANAGEMENT INC,,,0.02534262684273067,0.013072433704958019,,,,0.01005062276554092,0.009831130648682665,,0.034796498490434466,,0.013149748556155128,0.006075049109767009,,0.07486944837891762,,0.008137406357894944,0.012222242571490221,,0.051789021690160086,,0.00755601974023137,0.0031842083212971902,,,,0.0036742702177705346,,,0.14914611442507256,0.07293212635893229,,,,0.07369345052565794,0.054619115501967866,,0.10634083496918408,,0.07638421706486147,0.06532714389473551,,0.16682676378901987,,0.06106516109392328,0.06277480922838072,,0.1349136583365683,,0.057427639619602726,0.06281090944030421,,,,0.06209461528333452,,,0.13563826333980605,0.06367467893647824,,,,0.06518601360284024,0.04822964103975212,,0.07742132786662258,,0.06496049828862145,0.06074469849431178,,0.09729768956879221,,0.05341258657193786,0.0542625388063772,,0.08458724307775081,,0.05113490269028841,0.06123613080594982,,,,0.058891320094718175,,,,10636000.0,254813000.0,,,,1066334000.0,2032963000.0,,12558000.0,,3725297000.0,14292137000.0,,53205000.0,,13332998000.0,34851196000.0,,23306000.0,,41330054000.0,9892960000.0,,,,17121752000.0
ADVISORY RESEARCH INC,,,,,,,,0.03246132885433714,0.040481175080818284,,0.27893896853026273,,0.026862382403939677,0.03321014203033223,,0.01697819934006792,,0.014854563300253127,0.009210364729275028,,0.08920295423288209,,0.008483047118746203,0.0918697874804776,,0.02616259556093593,,0.0115898983431027,,,,,,,,0.12188495168125003,0.1406796722289988,,0.6215839819074981,,0.10699579803214886,0.11909345132052027,,0.12092382499236659,,0.11110795273036801,0.1119916713138224,,0.2114128713444668,,0.09145459974284234,0.22564135477541702,,0.17727893595285826,,0.07058612382158973,,,,,,,,0.09182365000961372,0.11305830337394941,,0.36158170557907704,,0.08555776835710849,0.09871509183260063,,0.11008589574106513,,0.10112266497532586,0.1059835837631738,,0.13591822953096366,,0.08557559121930351,0.14902940818628121,,0.15768189932542495,,0.06340601862586417,,,,,,,,,8979000.0,17543175000.0,,1912657000.0,,5149700000.0,19032437000.0,,1745311000.0,,45770753000.0,18219195000.0,,365123000.0,,39728698000.0,1435698000.0,,68677000.0,,7880851000.0
AEGON USA INVESTMENT MANAGEMENT LLC,,,,,,,,,0.007280439194459815,,,,0.1627732514580829,3.86209227874913,,0.005482650759118173,,0.2630891137745999,0.005685066644304631,,1.1070487130405728,,2.180077814835846,,,2.2807939480062043,,0.01300527018040226,,,,,,,,,0.4432368461659956,,,,0.523429865336904,8.043594026612793,,0.15135478696463261,,0.545164927910048,0.331805749218673,,2.2392633791075855,,4.440402213013594,,,4.661572157653941,,0.23764423767578882,,,,,,,,,0.43956288694594403,,,,0.4238012029171104,4.182119671386975,,0.15293172207898742,,0.28703963003352595,0.32784942523120375,,1.1335045421634755,,2.268632259802795,,,2.405040846228737,,0.22635121112759807,,,,,,,,,,75517000.0,,,,83797000.0,643002000.0,,3298869000.0,,1317262000.0,98575000.0,,16211628000.0,,13102483000.0,,,10765052000.0,,15999287000.0
AEW CAPITAL MANAGEMENT L P,,,,0.000953985556407931,,,,,,,,,0.023424668842095743,0.011550970294355855,,,,0.30302693223021243,0.011594414103516797,,,,0.017085511815383522,,,,,,,,,0.08304757889244853,,,,,,,,,0.13012723660844092,0.08700299051252879,,,,0.5935007316693856,0.0735603429741848,,,,0.0731339711545025,,,,,,,,,0.08250805513332649,,,,,,,,,0.11489163598499313,0.0780496369749355,,,,0.2934816080061518,0.06733880625816395,,,,0.06391413972936232,,,,,,,,,,4745139000.0,,,,,,,,,1297346000.0,10391035000.0,,,,22221695000.0,5161220000.0,,,,47258113000.0,,,,,
AGF INVESTMENTS INC,,,,,,0.09452448972256125,,,0.11016295982729728,,0.7081983775793796,,0.9007329763843228,0.6465549572246482,,1.0285033976778208,,1.0431087170296405,0.7818896091206505,,0.6200881215128797,,0.4931572929527935,0.011772020868044826,,1.0635135276569874,,0.35699813247057366,,,,,,0.3890734230900927,,,0.23004015868866884,,1.4446139692897773,,1.872913028933304,1.3261940175563731,,2.105453735656099,,2.0763595654521367,1.5735272066747257,,1.2220029615868775,,0.9783746846940615,0.0684701881895096,,2.1321091493326225,,0.7073604093438186,,,,,,0.3113975278220169,,,0.13696926664299613,,0.7410261533227801,,0.9754091157223287,0.6828528021579623,,1.0783083785155183,,1.0345732564050196,0.7929751877984847,,0.6032652183843963,,0.48596062308855364,0.062130292174921886,,1.06960468466437,,0.3535453334960453,,,,,,,8764000.0,,,596113000.0,,696313000.0,,294285000.0,6875035000.0,,1667397000.0,,3100375000.0,63880619000.0,,6313802000.0,,83411909000.0,12123001000.0,,3422020000.0,,14239796000.0
AHL PARTNERS LLP,,,,,,,,,0.037448284390843314,,,,0.04232510517633602,0.01698980607250473,,,,0.023646472973576194,0.01881310762568094,,0.010158415841584159,,0.021554795471620803,0.0198150195955646,,,,0.02326820834883537,,,,,,,,,0.10307181451231515,,,,0.09395271381502131,0.05256648474349129,,,,0.06505955769574992,0.06122522203650286,,0.0331186125368964,,0.06330445736414277,0.07120977636852535,,,,0.06788316414055266,,,,,,,,,0.07014280701477313,,,,0.054098760731820766,0.03618752209239906,,,,0.04274054945000138,0.04317219439172543,,0.031745503005979815,,0.04278302928928666,0.056835451362490484,,,,0.04653116604509249,,,,,,,,,,558204000.0,,,,317453000.0,9597047000.0,,525000.0,,4824936000.0,13167154000.0,,2141000.0,,6009407000.0,346054000.0,,,,631451000.0
AJO LP,,,0.18201606706916154,0.03658191779944507,,,,0.08313742251241504,0.05029479496986364,,0.04352401841730486,,0.0699000213757373,0.010912191273193228,,0.0816027729977878,,0.01641818951863038,0.0057758251414567,,0.05017665045891945,,0.013518364266502087,0.007187763612277731,,,,0.007523571434237666,,,0.41346955842914207,0.14416909922030408,,,,0.20782715905843827,0.11724346352591172,,0.1760595515330642,,0.16617725685077636,0.05685285471316213,,0.20582450103490602,,0.07949882601904838,0.0626452292346484,,0.10080183447472796,,0.07366281827382169,0.09965040193649678,,,,0.06439668455036943,,,0.23247004334607896,0.12635161634469708,,,,0.14179604435901116,0.07369325955946339,,0.1480859605035687,,0.09876453074026285,0.048571990697380864,,0.167077536905813,,0.06504762814726027,0.05956406761493241,,0.06222599763469317,,0.06140813865984194,0.0958509945471606,,,,0.05889853959695445,,,,4102000.0,82661000.0,,,,38031000.0,3185079000.0,,13048000.0,,2373775000.0,61775917000.0,,5567000.0,,50181694000.0,154807680000.0,,14802000.0,,105848619000.0,24970200000.0,,,,78472940000.0
