,realized_return,realized_return,realized_return,realized_return,realized_return,realized_return,realized_return,realized_return,realized_return,realized_return,realized_return,realized_return,realized_return,realized_return,realized_return,realized_return,realized_return,realized_return,realized_return,realized_return,realized_return,realized_return,realized_return,realized_return,realized_return,realized_return,realized_return,realized_return,return,return,return,return,return,return,return,return,return,return,return,return,return,return,return,return,return,return,return,return,return,return,return,return,return,return,return,return,unrealized_return,unrealized_return,unrealized_return,unrealized_return,unrealized_return,unrealized_return,unrealized_return,unrealized_return,unrealized_return,unrealized_return,unrealized_return,unrealized_return,unrealized_return,unrealized_return,unrealized_return,unrealized_return,unrealized_return,unrealized_return,unrealized_return,unrealized_return,unrealized_return,unrealized_return,unrealized_return,unrealized_return,unrealized_return,unrealized_return,unrealized_return,unrealized_return,value_x,value_x,value_x,value_x,value_x,value_x,value_x,value_x,value_x,value_x,value_x,value_x,value_x,value_x,value_x,value_x,value_x,value_x,value_x,value_x,value_x,value_x,value_x,value_x,value_x,value_x,value_x,value_x,value_x
BROOKFIELD ASSET MANAGEMENT INC,,0.006481789492484774,,,,0.044909324691157014,,0.01128635236171165,0.017556504684856596,,0.023474924885003967,,0.12901630610682946,0.03934311187962072,,0.002678209060416445,,0.044004863437777465,0.0352344646666498,,0.009769341498349023,,0.018521705476590537,,,0.2082977065946238,,0.02279829276844991,,0.23543893535743268,,,,0.28740181785787444,,0.23915727517242616,0.2279233072421056,,0.2247793929959483,,0.39876688653999354,0.24925197669692994,,0.22874241706497447,,0.2315079355038415,0.2555809922894737,,0.24662836714185135,,0.23215770475645728,,,0.4826863190456824,,0.2486070454899104,,0.23425761820549185,,,,0.27160496449516847,,0.23642542902403654,0.22729382182596258,,0.22009239048064874,,0.3174881189032227,0.23350219578604792,,0.22830114968881507,,0.22312246536872019,0.23282434041947483,,0.23767440775119303,,0.22350149773056838,,,0.3181928393569098,,0.24597818815572145,,7404336000.0,,,,,35175000.0,,2074886000.0,5110086000.0,,131714000.0,,149900000.0,24257523000.0,,187719472000.0,,5767361000.0,47543583000.0,,22643897000.0,,27913562000.0,104000.0,,301286000.0,,67450000.0
BROWN ADVISORY INC,,0.0,,0.06683883402274451,,0.014727498490709045,,0.1477748653649262,0.007139317290752763,,0.06801465074501352,,0.029870498564552782,0.03779365784122137,,0.02183137441832263,,0.010796307162161128,0.01544268286910007,,0.03888039954019688,,0.015943178310958084,0.03812386483630087,,0.3041056829851657,,0.03909103084919998,,0.25514162207762026,,0.18535357363552832,,0.11743284223475182,,0.29577750452073487,0.07193396421384086,,0.16136960455742896,,0.0886383872092005,0.0993931387751524,,0.11000172902604058,,0.0692387467949043,0.07214361502220407,,0.12197972713240487,,0.06240453800424496,0.09415239127031531,,4.604885437839041,,0.10827663474586618,,0.25514162207762026,,0.12320617495606338,,0.11060424870384007,,0.16196003639303927,0.0689612670934143,,0.1050029337403765,,0.06344390665541905,0.07526039385723785,,0.1026073180444979,,0.06068549380753263,0.066359339001317,,0.09367789674419058,,0.053648002771113604,0.07601214918693108,,4.54769375346151,,0.07916926508093128,49000.0,641000.0,,,251002000.0,,16812000.0,,114837000.0,7154151000.0,,170651000.0,,10256385000.0,51790782000.0,,1201717000.0,,52519223000.0,122169811000.0,,284439000.0,,244037958000.0,110170242000.0,,2169491000.0,,79018783000.0
BROWN BROTHERS HARRIMAN CO,,0.058619001377226636,,,,0.17231865225011953,,0.11785113019775792,0.08383850399944645,,0.14965995946172556,,0.005281226972902579,0.005356520173664277,,0.006838467639187872,,0.004805776575085212,3.0076451547123644,,0.011726087264090253,,1.2207874038904796,2.979990517019468,,0.003756964510347236,,2.0771919669643433,,0.40218616664550955,,,,0.42104375055984217,,0.3535533905932738,0.190924381729564,,0.3236178829159998,,0.08687635559315945,0.09156807472991634,,0.08404411181816848,,0.07515395386205656,6.015552763508627,,0.09021208150181473,,2.44519952850777,5.96807906489021,,0.08947277018254612,,4.154183821167733,,0.388171979930243,,,,0.26811417817865435,,0.23570226039551584,0.12260262295610189,,0.1861030739869074,,0.08407866678129607,0.08831247358729348,,0.08145963176021126,,0.07157130811644893,3.008257631920396,,0.0840947585747891,,1.2247627746290484,2.9884309986120345,,0.08745791049886582,,2.07734694486786,,4147000.0,,,,,78000.0,,2000.0,57893000.0,,2017944000.0,,1363953000.0,14613807000.0,,1811655000.0,,14571601000.0,56674423000.0,,5361804000.0,,176785289000.0,46096799000.0,,16527665000.0,,117085729000.0
BROWN CAPITAL MANAGEMENT LLC,,,,,,,,,0.0045608129034137405,,0.01421711174217928,,0.002957468449157029,0.003985711729196518,,0.05268413156259197,,0.005450110205762899,0.004823863071602755,,0.016634951553943553,,0.006476689926000683,0.012061262494384089,,0.03826509874737348,,0.032825070122779736,,,,,,,,,0.13201225251622833,,0.20136999901113808,,0.10086196389896593,0.09904191125917289,,0.13610156278828484,,0.10747347481876054,0.11837689240549851,,0.08515284492916318,,0.09948524633489657,0.08252029802069283,,0.12206041765855126,,0.13564462666356764,,,,,,,,,0.1304760333189988,,0.1968303866916424,,0.09956465756223035,0.0973038994678244,,0.09521077097094051,,0.10353615666793883,0.11790002874295649,,0.07532717020439583,,0.09466662793324115,0.08127019102622647,,0.09274493543164396,,0.10684384171156168,,,,,,,,,,9011658000.0,,291169000.0,,7462464000.0,42607889000.0,,83884000.0,,58886868000.0,9583712000.0,,304470000.0,,24509450000.0,1422183000.0,,142840000.0,,11109000.0
BRYN MAWR TRUST CO,,0.013450927721529653,,0.005922566784499386,,0.003668339654893808,,0.006158582124035238,0.0028103034740633985,,0.006124896407823388,,0.010461487854538425,0.008514609407872999,,0.03086501360984175,,0.006293599944912691,0.015352670559800642,,0.037451414531520705,,0.014861241139181658,0.03214606217218726,,0.0017629539067421716,,0.03691755867437087,,0.163827198629585,,3.6134911692473866,,0.11299442798902107,,0.05807534428997157,0.07557200281830607,,0.07896484265198403,,0.08889050593287638,0.06400370538750162,,0.10974429224640833,,0.06426204691667517,0.058896634816979404,,0.10537230279671027,,0.057997903629440725,0.07709574899324936,,0.07704601225101561,,0.09540120044094003,,0.156973477831978,,3.6135088380225424,,0.1120444986096892,,0.05244492711984256,0.0741781261286447,,0.0782085193088962,,0.08164122102949319,0.06236048888297893,,0.09002888545977278,,0.06026850952402704,0.05289803297154305,,0.07968876241844422,,0.048422234667521484,0.05982737242793071,,0.07605249382985436,,0.0631595316246632,,7117000.0,,,16057000.0,,10991000.0,,783000.0,881352000.0,,51941000.0,,706681000.0,845135000.0,,194265000.0,,2361369000.0,10129770000.0,,248426000.0,,9602572000.0,6860323000.0,,272848000.0,,5899758000.0
BURGUNDY ASSET MANAGEMENT LTD,,,,,,,,,0.01598969549093185,,0.008908126316982916,,0.004214002606677237,0.0037502157348424546,,0.0,,0.006084493477020676,0.004222756416071404,,0.10340851564060119,,0.0048937366089880745,0.0018633594484427473,,0.015149831534923124,,0.0020708995516824924,,,,,,,,,0.13146957554578798,,0.10785465824431342,,0.1108767763900288,0.05798635585469574,,0.056517775854223226,,0.05319708397215173,0.0643413839997544,,0.24123819683634176,,0.04918644568028063,0.09811088145017198,,0.12127009956311127,,0.060732154439982956,,,,,,,,,0.12252597688760557,,0.10379453857488284,,0.10909952178052378,0.05721917394012788,,0.056517775854223226,,0.049661688573626635,0.062026248884866624,,0.14361238556840802,,0.04660441373525335,0.09759290005331926,,0.11730577541353772,,0.0593912262391511,,,,,,,,,,2243005000.0,,97477000.0,,2701263000.0,35752188000.0,,825000.0,,17414919000.0,34370839000.0,,291563000.0,,67847708000.0,8438644000.0,,81651000.0,,36399339000.0
C WORLDWIDE GROUP HOLDING A,,,,,,,,0.02307256246017096,0.005948092772047661,,0.04642857229990783,,0.03413526574159861,0.06263966990274014,,0.04152162244104642,,0.032847739992325306,0.0028059771397263107,,0.02148457416612521,,0.006052333061613646,0.003412419980807,,0.005958485439249313,,0.003230757439203532,,,,,,,,0.22243436702083955,0.19515415675919942,,0.22601174055370368,,0.16056055375868042,0.18483051312940063,,0.1831832609322497,,0.18740591926969477,0.06706351379078017,,0.08784119063306724,,0.09214591676671911,0.06388651487147275,,0.09184361712743112,,0.08411073052684452,,,,,,,,0.21269071600403736,0.19431949116747585,,0.19802472829107348,,0.13874596985942883,0.15001355778593248,,0.14885866101369552,,0.16207213817568547,0.06529488447858307,,0.07523817116554855,,0.08788634285728951,0.06257627289515665,,0.0873464261808406,,0.08219754531297194,,,,,,,,,22153000.0,3435000.0,,20656000.0,,835122000.0,64732000.0,,86792000.0,,1302874000.0,21575946000.0,,4336116000.0,,7075438000.0,19897756000.0,,1125972000.0,,49583789000.0
CADENCE CAPITAL MANAGEMENT LLC,,,,0.010741781526935251,,,,0.1348540572984419,0.011797621656672516,,,,0.015148904443660434,0.009404266788085959,,0.046873800838481666,,0.01017950968546851,0.007012815749260067,,0.03737814516103233,,0.019953333022005477,0.008683544912546012,,0.04504886369985982,,0.013547350682028558,,,,0.07341743654388647,,,,0.3747091871747351,0.08208942317727241,,,,0.060585890744640485,0.07940816203558193,,0.17329708594650314,,0.05905592708131144,0.07577678619736244,,0.11307803676684167,,0.07608299111156999,0.0810846646092083,,0.1525433494169437,,0.058174452551013896,,,,0.06634487123406507,,,,0.24714940431686427,0.07415488632689966,,,,0.048940449394753484,0.07312636429232737,,0.13136156305401045,,0.05067133696005135,0.07068964236253428,,0.08644126042948778,,0.057792473510787104,0.07483611043816765,,0.11074795865428783,,0.047954538675994605,,,,,738918000.0,,,,4458000.0,5433785000.0,,,,923892000.0,2939961000.0,,28919000.0,,2409724000.0,3280911000.0,,281214000.0,,12170429000.0,759879000.0,,143545000.0,,4491502000.0
CADIAN CAPITAL MANAGEMENT LP,,,,,,0.34097364759952975,,,0.03126951358410623,,0.05254648497608847,,0.052143447441866046,0.04022800147938627,,0.02804349104788764,,0.04822312687164113,0.029370966524981813,,0.07160208136013961,,0.030552911021673845,0.01632512638953509,,,,0.0866171349725339,,,,,,0.7016124228073143,,,0.14249432591250874,,0.16174812194114147,,0.1634216558312349,0.1330459298943519,,0.13866002516526446,,0.16833483432241295,0.13620463214878883,,0.2620333145665545,,0.1343704609756502,0.0996430929991285,,,,0.18045612084406143,,,,,,0.36063877520778453,,,0.12547134441932156,,0.11453939074143085,,0.12312107102659968,0.10317407509133406,,0.12928435215353512,,0.12682557218983975,0.1126036953810219,,0.22454152724022988,,0.11218381012083993,0.0916780503264417,,,,0.11064067106798035,,,,,,,9239000.0,,,2681237000.0,,327004000.0,,3332514000.0,10989154000.0,,603693000.0,,8183782000.0,13379870000.0,,203983000.0,,7950772000.0,4635036000.0,,,,260786000.0
CAISSE DE DEPOT ET PLACEMENT DU QUEBEC,,,,0.03088178785155727,,,,,0.00690860144404293,,0.017858719869165464,,,0.4097388557953927,,3.5193376762108333,,1.5401074092727305,0.28156502851952464,,0.005823545150214099,,0.09283274606301857,0.025388136080661868,,0.06603278337814526,,0.09540855184126804,,,,0.14821400143084915,,,,,0.07123914406166237,,0.09362601610988201,,,0.822224666093181,,7.039906949107852,,3.0946056154754524,0.5814736761337633,,0.07652332738895005,,0.20130736073722735,0.0919668639733096,,0.1702080249343458,,0.20988508448186238,,,,0.13130133634861219,,,,,0.0699127224496368,,0.08129584320662768,,,0.4138705840382978,,3.520845023805377,,1.5551168921511473,0.3013911406469426,,0.07471856815714302,,0.11125803269984197,0.0760350429080788,,0.12188089482702467,,0.12130719457599023,,,,,224575000.0,,,,,12398812000.0,,2697711000.0,,,16213089000.0,,9784230000.0,,12696555000.0,243922810000.0,,140265535000.0,,240891000000.0,54345975000.0,,8984000.0,,105926110000.0
CALAMOS ADVISORS LLC,,,,,,,,,6.65295114735119,,1.0053741362257242,,5.920640819688834,2.5736581755660906,,49.813766089735125,,10.46166905627719,21.84207038089239,,66.92974929203417,,31.7603367350313,54.68556508625195,,155.67843591267706,,61.48097182625287,,,,,,,,,13.299668715981106,,2.05237757416037,,11.93742636939157,5.169319563758016,,99.6382384611656,,20.931882615873324,43.65322834466009,,133.87773368469232,,63.724099964826735,109.91776598924717,,311.45102305050125,,122.9634503229032,,,,,,,,,6.646944202322446,,1.0492770917952452,,6.018881433981522,2.596614473183295,,49.82467706030912,,10.470343667896536,21.811259953644452,,66.94802078335421,,31.96389985513436,55.23310637817033,,155.77271483512504,,61.48255308222776,,,,,,,,,,427067000.0,,1205835000.0,,1053705000.0,10912779000.0,,7156064000.0,,11297775000.0,125451329000.0,,8669734000.0,,105422022000.0,98933392000.0,,4610891000.0,,72868347000.0
CALEDONIA PRIVATE INVESTMENTS PTY LTD 1,,,,,,,,,,,3.863552968680029e-05,,,,,,,0.0031858860740141687,0.014359708203126036,,0.022282086334616202,,,,,,,,,,,,,,,,,,0.2925147683156456,,,,,,,0.24589195510558443,0.1617795839618334,,0.2962747428001422,,,,,,,,,,,,,,,,,,0.2925094978699261,,,,,,,0.24543992767227216,0.15716395345769896,,0.287485960216361,,,,,,,,,,,,,,,,,,,1222999000.0,,,,,,,9334950000.0,12222099000.0,,33910792000.0,,,,,,,
CALIFORNIA PUBLIC EMPLOYEES RETIREMENT SYSTEM,,0.37799115494248997,0.009828291880306282,0.005327475204301245,,0.04785439432193269,,0.05918846197914463,0.00836906975498698,,0.03611510562243107,,0.01212819013561211,0.003031028689493879,,0.024579478040967825,,0.005698987057542671,0.007175150072364484,,0.005292310475579839,,0.00790112359831597,0.01113009571041206,,,,0.0022275996969055743,,0.8463166610651249,0.2957310040611022,0.10853606744302793,,0.13654337348863801,,0.17305017803718548,0.0854645040863433,,0.11035337900827744,,0.07984754303830457,0.06378259279936749,,0.11181800834334932,,0.06576688109426596,0.05099395679444896,,0.15740231642296365,,0.059977505694331364,0.05354915891851923,,,,0.07254027997743764,,0.49446713813697163,0.29308157989665723,0.10739735844020919,,0.09897476210083245,,0.1399443167568382,0.08031694087589611,,0.0859328592771061,,0.07219336496762958,0.06282872007492729,,0.09961517763594833,,0.06107314873019754,0.047966560456258765,,0.15528596999082692,,0.056371331100586224,0.04956220780573012,,,,0.07106559118290737,,30839000.0,,52114000.0,1578360000.0,,2695511000.0,,72334000.0,13841098000.0,,6897882000.0,,22301592000.0,60746943000.0,,905669000.0,,126034089000.0,499466462000.0,,1924689000.0,,317551014000.0,200747371000.0,,,,221636564000.0
CALIFORNIA STATE TEACHERS RETIREMENT SYSTEM,0.14830366006984044,,,0.021189756099753265,,0.0397842774835803,,0.002031247572562792,0.0076111555672417645,,0.01693944027021536,,0.027962957079501635,0.002945305636571989,,0.013467614641353202,,0.0029953709600313468,0.001453977731199658,,0.0055139029754511125,,0.0018176060849641126,0.0012159299129776444,,,,0.0009211215672132743,0.41372341751490643,,,0.09728146482214797,,0.11521008672837184,,0.08282370110066437,0.07604948907134802,,0.10070230138762691,,0.06784743811280841,0.0637998728884003,,0.11352574024837186,,0.05938433507963974,0.054211573857447404,,0.11435127385657075,,0.05065948622300598,0.07376105423177218,,,,0.045011324773632344,0.3070231150325474,,,0.08651062787297842,,0.09598426788915937,,0.08206796299026517,0.07337404869548386,,0.09279263473994555,,0.06396002233520894,0.0628743769287954,,0.1100820791809612,,0.05939037739897812,0.054120866999045815,,0.11202618597236512,,0.04974252903253639,0.07350054451007372,,,,0.044519295435963106,20418000.0,,,,555771000.0,,347454000.0,,519842000.0,21567812000.0,,1838174000.0,,1098440000.0,79209374000.0,,314497000.0,,32280837000.0,279458348000.0,,26953000.0,,234827616000.0,174511241000.0,,,,133939077000.0
CAMBER CAPITAL MANAGEMENT LP,,0.12914001424760546,,0.04614941239639001,,0.03430386749853823,,7.7889885930265725,0.019442385925729364,,0.03293845064734316,,0.13542668724442442,0.05127962293905289,,0.04245365464560264,,,0.03113035794250364,,0.04143648128399601,,0.05679119773977244,,,,,,,3.1561258433916826,,0.27483784880545464,,0.377093305710521,,16.450683078938457,0.13224596365924313,,0.23417721273755512,,0.3502951669262365,0.21105909934168476,,0.2391419772845833,,,0.192449245905137,,0.20129446633586554,,0.2049686222179946,,,,,,,3.1521097017569577,,0.24464914458719475,,0.37948358800821763,,8.661706396742613,0.12536713065433439,,0.22312745103488144,,0.24219613752415584,0.17136936240828357,,0.20717083423607574,,,0.1721010659655605,,0.16864882830406785,,0.1580609042650595,,,,,,,293154000.0,,,66006000.0,,162967000.0,,18636000.0,2145205000.0,,982516000.0,,165771000.0,5191357000.0,,1555702000.0,,,12098349000.0,,1973860000.0,,8358773000.0,,,,,
CAMBIAR INVESTORS LLC,,,,,,,,,0.03107124777321473,,0.05453362580904064,,0.015293468511724551,0.022866170188790672,,0.0668588833582229,,0.010582333014762092,0.008900340849354055,,0.02523709416016496,,0.01421869943090369,0.050658390505514336,,,,0.028065258163492354,,,,,,,,,0.1328326813049617,,0.18031137804552494,,0.09164593365638012,0.11348751756927915,,0.1822233761820072,,0.08591601369608175,0.06667044400088767,,0.07879547524350049,,0.07443182392707297,0.14875959379425593,,,,0.09274274041183977,,,,,,,,,0.11465537782958049,,0.1488556867468262,,0.07905145411002716,0.09671427861399413,,0.1281924708365575,,0.07828405511488545,0.059735913149416675,,0.06499958317247993,,0.061617857656881374,0.10501946227279964,,,,0.06901906428778985,,,,,,,,,,1331087000.0,,29049000.0,,1593782000.0,6143498000.0,,96331000.0,,30695519000.0,15869536000.0,,14963000.0,,59192416000.0,3487004000.0,,,,19858789000.0
CAMBRIDGE INVESTMENT RESEARCH ADVISORS INC,0.0009888309002628812,,0.08699693794324366,8.242291800780508,,0.004511651914980413,,0.008937689296529088,0.01111105760400686,,0.013842422999134824,,0.10365465888538654,0.009183649083304286,,0.09166330234470234,,0.011791606451419768,0.0639774526710016,,,,0.2749700482070385,0.14744041017771706,,3.995326638349819,,0.5402574621075723,0.018336895064231893,,0.45562895972426265,16.48803820177374,,0.140556557978869,,0.06568201603607081,0.05443587200371177,,0.08369762249566612,,0.2574584205126743,0.05802843014242806,,0.201520485426004,,0.0653195052768197,0.1418574612685537,,,,0.5560052626059251,0.30216370970447687,,8.002138761833674,,1.0694627539612942,0.017491361890294606,,0.4155173388511807,8.245870033957832,,0.13908330881018832,,0.06012269931227276,0.04767451275262964,,0.07820787278541261,,0.1582101503832259,0.05081964707987149,,0.11707867190140095,,0.057049541859112034,0.08208109511466606,,,,0.28231062885509156,0.1568254381761396,,4.00702103394833,,0.5298996309613788,1342000.0,,,517000.0,398071000.0,,269454000.0,,285777000.0,922567000.0,,84586000.0,,822349000.0,3357615000.0,,180924000.0,,2252087000.0,26985855000.0,,,,14000939000.0,47895079000.0,,822495000.0,,12333040000.0
CAMDEN ASSET MANAGEMENT L P,,,,,,,,,1.0469114339080037,,122.09818994112005,,0.09757724670356051,6.425668446028797,,28.148087578269777,,1.8596224078741597,9.761710815927426,,20.050479483033257,,23.977205281026652,32.956663566007,,,,19.47369475086206,,,,,,,,,2.225657222376727,,250.0347100067836,,0.21755021853354767,12.851781482699131,,56.37816866875867,,3.734794440425976,19.537024339964848,,40.137021424987864,,47.97141663278133,68.00968227243733,,,,38.98091258008821,,,,,,,,,1.1814062174621098,,127.93716950387348,,0.12221449604510802,6.4264818307076705,,28.230378420126463,,1.877977722632304,9.775435802700578,,20.087176531398207,,23.99434190728388,37.79662942528217,,,,19.508041808973996,,,,,,,,,,2286621000.0,,1053684000.0,,732658000.0,12865069000.0,,2524296000.0,,4008035000.0,21264096000.0,,2737770000.0,,10438838000.0,2638372000.0,,,,120501000.0
CANADA PENSION PLAN INVESTMENT BOARD,,,0.06763831436502374,0.047618436273108196,,,,,1.7693090360261712,,0.12959941288709287,,0.06007887652614015,0.24444785775263217,,3.278950489137552,,0.4209787755281729,0.3858539176410326,,2.260367402219851,,0.28626858611777967,0.9777436430662617,,,,0.009340067890602521,,,0.1893212667609157,0.20909216736517008,,,,,3.528465324315223,,0.288545795117372,,0.14679176473707264,0.48980791219309305,,6.602460136342008,,0.8458903288422951,0.7824416023134857,,4.5523656850237515,,0.5742051373130508,1.9381373488699616,,,,0.07132498603658177,,,0.14184137282894188,0.17561463610959172,,,,,1.7598277799170459,,0.16295577960127156,,0.09665447213902316,0.24870423776510744,,3.323852569595684,,0.42593297218538245,0.3984464294317917,,2.292222786756989,,0.28936068438247253,0.9614445585810671,,,,0.06556241067754263,,,,33287000.0,733919000.0,,,,,1748423000.0,,31227000.0,,831371000.0,46494930000.0,,19933245000.0,,18717901000.0,221730310000.0,,22334365000.0,,209662578000.0,55294971000.0,,,,148489129000.0
CANDRIAM LUXEMBOURG SCA,,,,,,0.0,,0.16045867142288064,0.9975430783031967,,0.030990658688618486,,0.1909992880350992,0.3984715698910781,,1.3863683183911004,,0.571448931323427,0.6775892300943873,,0.4376607775994337,,1.1257350698678577,0.4099425696143744,,0.019021264999353155,,0.8481699580825302,,,,,,0.2525429250007977,,0.4360344476640423,2.0363569409130107,,0.11724014008906812,,0.5368882524493807,0.813795031864769,,2.791855567003765,,1.1277224474771437,1.3503866754754217,,0.8847823663496699,,2.261749299123662,0.8293010237504305,,0.0858787557808091,,1.7012245130867012,,,,,,0.2525429250007977,,0.2899466741148209,1.0416421258103308,,0.09948315358410878,,0.3496230279988968,0.41898508021297426,,1.4060244436841272,,0.5573904010011894,0.6741758692988173,,0.44938721264094433,,1.1364994446223922,0.4224515713396117,,0.07845648708198238,,0.85357564809908,,,,,,,1806000.0,,12513000.0,1990092000.0,,404840000.0,,230382000.0,4836495000.0,,795302000.0,,1716093000.0,32585405000.0,,1299070000.0,,18308419000.0,8979762000.0,,8863000.0,,10096427000.0
CANNELL PETER B CO INC,,,0.013397742108103282,,,0.007595187614008477,,0.021486524003322023,1.5237698935503872,,0.0850764577978779,,0.04772676490213728,0.017544554367537893,,0.03730581148570365,,0.2080342709513898,0.09561289511538741,,0.11880336093733701,,0.05333791297756447,0.23906332125361737,,0.01934732381619871,,0.09628434664840892,,,0.24005298808874234,,,0.18227460397313242,,0.18269159597993465,3.0864176772671663,,0.23006832868070606,,0.13495911602400545,0.09135630871856983,,0.13948764519736567,,0.42864614556716085,0.22713287029884993,,0.26104191662654075,,0.1348446968971282,0.5002272510822281,,0.16060816944002024,,0.2391389278356098,,,0.2318822949491915,,,0.17909298275282182,,0.16544414232999347,1.5644454719186542,,0.16215360012940377,,0.09641801254394909,0.07961635628774347,,0.1116092106246727,,0.2250973744709435,0.13610429726196155,,0.15503215261554862,,0.08941823637128042,0.2643589035826494,,0.15014346305743256,,0.15216388091162286,,,,4156000.0,,,37405000.0,,125388000.0,56989000.0,,565317000.0,,369634000.0,3586872000.0,,820604000.0,,3164318000.0,17956206000.0,,965016000.0,,20533135000.0,2721632000.0,,61267000.0,,11532065000.0
CANTILLON CAPITAL MANAGEMENT LLC,,,,,,,,,,,,,,0.031661585505307156,,,,,0.02046111040364018,,,,0.05190587746517214,0.0019079881462732164,,,,,,,,,,,,,,,,,,0.16154259634136173,,,,,0.06954702360523687,,,,0.19238225392691244,0.14695837320971938,,,,,,,,,,,,,,,,,,0.1484853162922295,,,,,0.05492302541334356,,,,0.14571759970727793,0.1459295410460199,,,,,,,,,,,,,,,,,,,6270121000.0,,,,,104508241000.0,,,,750420000.0,24239598000.0,,,,
CANYON CAPITAL ADVISORS LLC,,,,,,,,,0.08894426516686457,,9.943538720055761,,7.438141219070609e-05,2.0304568592779915,,2.035387238075725,,0.03757001429557352,0.9994076959758288,,0.08859845324723367,,2.42955892114244,,,,,,,,,,,,,,0.47495223230207495,,20.428690286853847,,0.12915811707905853,4.069422526392916,,4.148250635157061,,0.17802005471657223,2.041290190837684,,0.21281017079489162,,4.942672059136861,,,,,,,,,,,,,,0.44056152269958626,,10.539202670442776,,0.12908373566686784,2.040433369945004,,2.122558644057815,,0.1476834859070897,1.0445009025673362,,0.1426905723800877,,2.5167990758835934,,,,,,,,,,,,,,,149371000.0,,539687000.0,,25667000.0,25707892000.0,,7494978000.0,,24658175000.0,3192623000.0,,14536488000.0,,7583518000.0,,,,,
CAPITAL BANK TRUST CO,,,,,,0.011870604138103091,,,0.01583781521702155,,0.1055941371100116,,0.02866332734098912,0.005413381356974412,,0.019013091064063157,,0.021945023450187017,0.2120716272220548,,0.038394129219098044,,0.17224269805023468,0.013769309690539508,,0.001518658790525166,,0.004745134563423088,,,,,,0.09048148976752442,,,0.1326829246902423,,0.22035333674655025,,0.16034631148245138,0.10415895595180713,,0.1026315699092735,,0.1917848942646709,0.42882108466957297,,0.13992716650646286,,0.34961252065273396,0.07664218561657177,,0.08872556517226983,,0.08376816023501128,,,,,,0.08403726288047964,,,0.12335592152664421,,0.11996814307816235,,0.14674799097800556,0.1000655476737806,,0.09860586405770826,,0.16994487617255144,0.2195353750016708,,0.11610419488575721,,0.18205192176118265,0.07618841454189797,,0.08778420910238428,,0.07965961009693602,,,,,,,106000.0,,,1771000.0,,25042000.0,,347000.0,483787000.0,,157698000.0,,103065000.0,14767571000.0,,500621000.0,,16317643000.0,7822778000.0,,119849000.0,,5198292000.0
CAPITAL FUND MANAGEMENT SA,,,,0.11490496867668278,,,,0.023046953868460122,0.09317083577339795,,0.05540592285359168,,0.05445938054729496,0.026876360767285983,,0.06776785209218293,,0.04165789075777228,0.02172582237244166,,0.043559542290238236,,0.03338534042096777,0.013994686554552346,,0.09113977483073799,,0.024987364309584037,,,,0.31780726942842363,,,,0.18635677391585176,0.24568124602313152,,0.15908557452633787,,0.14942752556693928,0.08559931644332079,,0.17781526577947565,,0.10535456406247469,0.0871912471320713,,0.12476522374714681,,0.0968383465065379,0.061516412473559455,,0.21472866801331805,,0.08295571360133919,,,,0.22024816566600505,,,,0.17711548910634328,0.16325571294927613,,0.11224549484615838,,0.09826048854164667,0.060226352894915874,,0.11437110236440741,,0.06406764092025789,0.06931094440468405,,0.09146921462098447,,0.06407083575774879,0.050038420524923605,,0.13529988727496461,,0.05902533260054598,,,,,56475000.0,,,,14215000.0,146586000.0,,70237000.0,,506705000.0,19779535000.0,,176755000.0,,25497486000.0,171031130000.0,,653584000.0,,203623950000.0,63860610000.0,,562683000.0,,57198853000.0
CAPITAL GROWTH MANAGEMENT LP,,,,,,,,,0.014469986506336498,,,,0.028750522467707255,0.018630052744895494,,,,0.013824079195062233,0.01355707118748582,,,,0.020600917847901166,,,0.0017929756917409946,,0.026066965998757553,,,,,,,,,0.04492998333717671,,,,0.18321615789755927,0.09561641689030609,,,,0.2161520268078288,0.11065817740417115,,,,0.09292214068057593,,,0.10948231183912475,,0.11346466268809695,,,,,,,,,0.03457932137053468,,,,0.16977756802878904,0.08216657061608,,,,0.2123733636734662,0.09865498112366651,,,,0.07733370247489388,,,0.1087242132043773,,0.09252345428427634,,,,,,,,,,71679000.0,,,,890699000.0,11630597000.0,,,,103443000.0,13401056000.0,,,,12239423000.0,,,5737228000.0,,2011291000.0
CAPITAL GUARDIAN TRUST CO,,,,,,,,,0.019747438687349475,,0.1871096885256747,,0.034670366709615,0.015226326380344938,,0.3776419100260366,0.0,0.032796699858550105,0.06797941471230153,,0.5822515047072803,,0.15474854238499103,0.01255070796488548,,0.16116452440326492,,0.13521671502123775,,,,,,,,,0.11312460978261879,,0.422064636945223,,0.14992454951133366,0.09668624892907561,,0.8167837049694987,0.0,0.122883530542332,0.14893849934318007,,1.1603196378711556,,0.316761690216301,0.08277229989139032,,0.3041839221866086,,0.2737403873777607,,,,,,,,,0.1049874794489632,,0.24613480995524833,,0.13671402353817658,0.09055895154168568,,0.44529643686800857,0.0,0.10230463923545165,0.08830171830833601,,0.5784640164053242,,0.16478822998228054,0.07498672856988219,,0.1774568538904123,,0.14508310308224484,,,,,,,,,,7224000.0,,948383000.0,,1047000.0,2442595000.0,,522666000.0,4000.0,8397711000.0,79109100000.0,,2176706000.0,,102603020000.0,9307773000.0,,418000.0,,45819054000.0
